dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
0.0,0,1.0867791301034786e-07,0
0.0,1,5.0176521615858495e-08,0
0.0,2,8.096843473776028e-08,0
0.0,3,9.748337449853536e-08,0
0.0,4,8.36895345719127e-08,0
0.0,5,6.151370598258698e-08,0
0.0,6,1.765378690857261e-08,0
0.0,7,9.433411780077239e-08,0
0.0,8,6.231018643340867e-08,0
0.0,9,3.913118960624632e-08,0
0.0,10,6.211091504615607e-08,0
0.0,11,8.228337864571594e-08,0
0.0,12,5.112745501169444e-08,0
0.0,13,6.0485741457484e-08,0
0.0,14,5.217814333309414e-08,0
0.0,15,1.0641287785780249e-07,0
2.0,0,1.0889235186565499e-07,0
2.0,1,5.018152554156505e-08,0
2.0,2,8.009546031311055e-08,0
2.0,3,9.579518494516145e-08,0
2.0,4,8.359526099983525e-08,0
2.0,5,6.150496111413356e-08,0
2.0,6,1.703714247838201e-08,0
2.0,7,9.503288904374107e-08,0
2.0,8,6.212106599828962e-08,0
2.0,9,3.913118960624632e-08,0
2.0,10,6.206694710483661e-08,0
2.0,11,8.232795735340135e-08,0
2.0,12,5.0604544134531486e-08,0
2.0,13,6.005674017808115e-08,0
2.0,14,5.217298649783612e-08,0
2.0,15,1.0591900946051636e-07,0
4.0,0,1.0903227177430225e-07,0
4.0,1,5.038557147975519e-08,0
4.0,2,8.076191139277942e-08,0
4.0,3,9.639937502999093e-08,0
4.0,4,8.375358772866648e-08,0
4.0,5,6.151151464852019e-08,0
4.0,6,1.723459052190103e-08,0
4.0,7,9.516289299592128e-08,0
4.0,8,6.231542120331446e-08,0
4.0,9,3.913118960624632e-08,0
4.0,10,6.220026557246316e-08,0
4.0,11,8.273451516749222e-08,0
4.0,12,5.0847899744211635e-08,0
4.0,13,6.050687376186502e-08,0
4.0,14,5.239589841507921e-08,0
4.0,15,1.0621322893124e-07,0
6.0,0,1.0890291451754049e-07,0
6.0,1,5.0303154707312685e-08,0
6.0,2,8.133812897845936e-08,0
6.0,3,9.802481098546613e-08,0
6.0,4,8.373423055105555e-08,0
6.0,5,6.153866128242129e-08,0
6.0,6,1.7811141466931017e-08,0
6.0,7,9.433411780077239e-08,0
6.0,8,6.244989303614385e-08,0
6.0,9,3.913118960624632e-08,0
6.0,10,6.223279684179602e-08,0
6.0,11,8.231976062327855e-08,0
6.0,12,5.1453663559103645e-08,0
6.0,13,6.065301034732238e-08,0
6.0,14,5.2368664423364924e-08,0
6.0,15,1.0681217571092746e-07,0
8.0,0,1.0913106421505453e-07,0
8.0,1,5.048353472278372e-08,0
8.0,2,8.11907163685521e-08,0
8.0,3,9.697233575891946e-08,0
8.0,4,8.382507903366841e-08,0
8.0,5,6.152248846544317e-08,0
8.0,6,1.7399706448293818e-08,0
8.0,7,9.503288904374107e-08,0
8.0,8,6.247987560756624e-08,0
8.0,9,3.913118960624632e-08,0
8.0,10,6.230355086147002e-08,0
8.0,11,8.309712078546516e-08,0
8.0,12,5.1069895456065676e-08,0
8.0,13,6.067403898804625e-08,0
8.0,14,5.260218058973038e-08,0
