dt,5e-10
freqs,channel,p1,chi2
8.0,10,6.23815961290482e-08,0
8.0,11,1.107870043397623e-07,0
8.0,12,5.1134172278085286e-08,0
8.0,13,6.072480224885684e-08,0
8.0,14,5.2562203615991204e-08,0
8.0,15,1.370008813080095e-07,0
10.0,0,1.0896906934032712e-07,0
10.0,1,5.1604410207608035e-08,0
10.0,2,8.073871026206392e-08,0
10.0,3,1.27775312999988e-07,0
10.0,4,8.366714142980245e-08,0
10.0,5,6.152043924467054e-08,0
10.0,6,1.7072344085239357e-08,0
10.0,7,1.2641407031888016e-07,0
10.0,8,6.228351742064421e-08,0
10.0,9,3.913118960624632e-08,0
10.0,10,6.221207532491747e-08,0
10.0,11,1.1161063439417053e-07,0
10.0,12,5.072863043586307e-08,0
10.0,13,6.035560967286111e-08,0
10.0,14,5.238917685959873e-08,0
10.0,15,1.3743217800171786e-07,0
12.0,0,1.0907797334166615e-07,0
12.0,1,5.181162986200225e-08,0
12.0,2,8.1643557016627e-08,0
12.0,3,1.292726799492066e-07,0
12.0,4,8.385005910281506e-08,0
12.0,5,6.154201614280712e-08,0
12.0,6,1.7646540380709653e-08,0
12.0,7,1.258358662848096e-07,0
12.0,8,6.262812908962734e-08,0
12.0,9,3.913118960624632e-08,0
12.0,10,6.242823686429955e-08,0
12.0,11,1.1109353602498956e-07,0
12.0,12,5.1485694287258224e-08,0
12.0,13,6.090329276105533e-08,0
12.0,14,5.276766144343654e-08,0
12.0,15,1.3682606433748713e-07,0
14.0,0,1.0904027433418608e-07,0
14.0,1,5.180823922264967e-08,0
14.0,2,8.179267193479098e-08,0
14.0,3,1.2984992575861553e-07,0
14.0,4,8.38575552785798e-08,0
14.0,5,6.156864424742447e-08,0
14.0,6,1.7998230459169994e-08,0
14.0,7,1.25105309283309e-07,0
14.0,8,6.275734918159457e-08,0
14.0,9,3.913118960624632e-08,0
14.0,10,6.241108352805634e-08,0
14.0,11,1.1040585638905212e-07,0
14.0,12,5.199761675451614e-08,0
14.0,13,6.09501594145589e-08,0
14.0,14,5.2733484190248386e-08,0
14.0,15,1.3629077373728337e-07,0
16.0,0,1.0939559804411085e-07,0
16.0,1,5.189043245495695e-08,0
16.0,2,8.144999427726988e-08,0
16.0,3,1.2876024770436292e-07,0
16.0,4,8.389240776546671e-08,0
