dt,5e-10
freqs,channel,p1,chi2
0.0,0,6.280378209636693e-08,0
0.0,1,7.034420746192972e-08,0
0.0,2,1.2604121946641672e-07,0
0.0,3,6.44281202607894e-08,0
0.0,4,1.1905200033574598e-07,0
0.0,5,6.28341697748171e-08,0
0.0,6,1.2653556378141091e-07,0
0.0,7,9.87350171543487e-08,0
0.0,8,1.2359404767620787e-07,0
0.0,9,6.149186938124422e-08,0
0.0,10,7.319289039963488e-08,0
0.0,11,7.706582109744259e-08,0
0.0,12,8.384992343057572e-08,0
0.0,13,7.332987632094899e-08,0
0.0,14,8.145034761414897e-08,0
0.0,15,2.0492826584212146e-07,0
2.0,0,6.265925631347033e-08,0
2.0,1,7.025392649629622e-08,0
2.0,2,1.2599118131949532e-07,0
2.0,3,6.450384072798574e-08,0
2.0,4,1.1908454549211515e-07,0
2.0,5,6.26469437288193e-08,0
2.0,6,1.263602014085131e-07,0
2.0,7,9.93069099301022e-08,0
2.0,8,1.2365063622946208e-07,0
2.0,9,6.149186938124422e-08,0
2.0,10,7.324334118250087e-08,0
2.0,11,7.708254434999276e-08,0
2.0,12,8.38525491562421e-08,0
2.0,13,7.325469976054909e-08,0
2.0,14,8.126982176949955e-08,0
2.0,15,2.070880973756562e-07,0
4.0,0,6.302829030580205e-08,0
4.0,1,7.064476964321106e-08,0
4.0,2,1.2627468122689598e-07,0
4.0,3,6.470403830215149e-08,0
4.0,4,1.1952921458168036e-07,0
4.0,5,6.295928899147846e-08,0
4.0,6,1.267389674269919e-07,0
4.0,7,1.0011349926071444e-07,0
4.0,8,1.2390873091145417e-07,0
4.0,9,6.149186938124422e-08,0
4.0,10,7.336987660769452e-08,0
4.0,11,7.710773453897259e-08,0
4.0,12,8.386041156122629e-08,0
4.0,13,7.343247238109309e-08,0
4.0,14,8.168404268683443e-08,0
4.0,15,2.0717169811535552e-07,0
6.0,0,6.318255492520747e-08,0
6.0,1,7.058353483959947e-08,0
6.0,2,1.262928835281358e-07,0
6.0,3,6.46121556974166e-08,0
6.0,4,1.194088898775967e-07,0
6.0,5,6.299330591289875e-08,0
6.0,6,1.2676172994246154e-07,0
6.0,7,9.90955913714943e-08,0
6.0,8,1.2376622992899192e-07,0
6.0,9,6.149186938124422e-08,0
6.0,10,7.337982571731905e-08,0
6.0,11,7.712459861839056e-08,0
6.0,12,8.387620290776715e-08,0
6.0,13,7.344687701375714e-08,0
6.0,14,8.163329921781443e-08,0
6.0,15,2.0506548874400244e-07,0
8.0,0,6.332744757172912e-08,0
8.0,1,7.08642360899097e-08,0
8.0,2,1.2648770256522436e-07,0
8.0,3,6.482580387982762e-08,0
8.0,4,1.19896223976038e-07,0
8.0,5,6.310139151763713e-08,0
8.0,6,1.268947718388057e-07,0
8.0,7,1.0070102509549264e-07,0
8.0,8,1.2405441587878668e-07,0
8.0,9,6.149186938124422e-08,0
8.0,10,7.346568166653279e-08,0
8.0,11,7.709512360159652e-08,0
8.0,12,8.386435106323103e-08,0
8.0,13,7.355151065353831e-08,0
8.0,14,8.183966083838771e-08,0
8.0,15,2.0723970224456816e-07,0
10.0,0,6.31122084953745e-08,0
10.0,1,7.060814652028181e-08,0
10.0,2,1.2629806876866402e-07,0
10.0,3,6.476799822341911e-08,0
10.0,4,1.1947565606724925e-07,0
10.0,5,6.285593037018042e-08,0
10.0,6,1.2666705773417176e-07,0
10.0,7,1.0025848268681122e-07,0
10.0,8,1.2390212382467587e-07,0
10.0,9,6.149186938124422e-08,0
10.0,10,7.352249401746882e-08,0
10.0,11,7.717126872917526e-08,0
10.0,12,8.38722745265447e-08,0
10.0,13,7.343755679506916e-08,0
10.0,14,8.159222403105741e-08,0
10.0,15,2.0793239967240692e-07,0
12.0,0,6.378328557600886e-08,0
12.0,1,7.106490904983509e-08,0
12.0,2,1.2663295093012055e-07,0
12.0,3,6.495854227542295e-08,0
12.0,4,1.202231610124887e-07,0
12.0,5,6.326537413148756e-08,0
12.0,6,1.2705862454566113e-07,0
12.0,7,1.0123181587379528e-07,0
12.0,8,1.2421441050383625e-07,0
12.0,9,6.149186938124422e-08,0
12.0,10,7.379401402979914e-08,0
12.0,11,7.720977723835152e-08,0
12.0,12,8.388413203728025e-08,0
12.0,13,7.375827256311334e-08,0
12.0,14,8.199613163516535e-08,0
12.0,15,2.077058699099805e-07,0
14.0,0,6.415367110290516e-08,0
14.0,1,7.099481804399059e-08,0
14.0,2,1.2666352276076994e-07,0
14.0,3,6.49087917842194e-08,0
14.0,4,1.2013530362102605e-07,0
14.0,5,6.33529228233326e-08,0
14.0,6,1.2704869790550726e-07,0
14.0,7,1.0058134130134317e-07,0
14.0,8,1.2423839037081127e-07,0
14.0,9,6.151024946090897e-08,0
14.0,10,7.393264345571593e-08,0
14.0,11,7.726158152435335e-08,0
14.0,12,8.390272073344158e-08,0
14.0,13,7.386282632965564e-08,0
14.0,14,8.19658230449829e-08,0
14.0,15,2.0645223044167905e-07,0
16.0,0,6.442461378428195e-08,0
16.0,1,7.109730090475255e-08,0
16.0,2,1.266824978230144e-07,0
16.0,3,6.518151261492646e-08,0
16.0,4,1.204650138817002e-07,0
16.0,5,6.3275745504296e-08,0
16.0,6,1.271115451402478e-07,0
16.0,7,1.0186531897499042e-07,0
16.0,8,1.2438667716535992e-07,0
16.0,9,6.149973178622839e-08,0
16.0,10,7.422782208971474e-08,0
16.0,11,7.728768291460812e-08,0
16.0,12,8.389606781822459e-08,0
16.0,13,7.393108274183947e-08,0
16.0,14,8.203079917457329e-08,0
16.0,15,2.0923207503748032e-07,0
18.000000000000004,0,6.486611610404797e-08,0
18.000000000000004,1,7.123642863888342e-08,0
18.000000000000004,2,1.2673489952848107e-07,0
18.000000000000004,3,6.535890450362289e-08,0
18.000000000000004,4,1.2070494337140587e-07,0
18.000000000000004,5,6.339041766402706e-08,0
18.000000000000004,6,1.2725857460182626e-07,0
18.000000000000004,7,1.0222409442264383e-07,0
18.000000000000004,8,1.24439167623583e-07,0
18.000000000000004,9,6.150761633883224e-08,0
18.000000000000004,10,7.443236434798469e-08,0
18.000000000000004,11,7.736679643080668e-08,0
18.000000000000004,12,8.390005768267626e-08,0
18.000000000000004,13,7.414435366674125e-08,0
18.000000000000004,14,8.214629196901152e-08,0
18.000000000000004,15,2.0984637942690337e-07,0
20.0,0,6.621310099176838e-08,0
20.0,1,7.14274604947772e-08,0
20.0,2,1.2694216501150542e-07,0
20.0,3,6.539427236114601e-08,0
20.0,4,1.2091821834259457e-07,0
20.0,5,6.38515017010426e-08,0
20.0,6,1.2736898440142247e-07,0
20.0,7,1.0231166358099196e-07,0
20.0,8,1.2470379105287287e-07,0
20.0,9,6.152345226228235e-08,0
20.0,10,7.490681193302048e-08,0
20.0,11,7.746517236834055e-08,0
20.0,12,8.397832128996938e-08,0
20.0,13,7.466615523594043e-08,0
20.0,14,8.227549040860571e-08,0
20.0,15,2.083269999037304e-07,0
22.0,0,6.85663962649905e-08,0
22.0,1,7.160652469752672e-08,0
22.0,2,1.2716889273107093e-07,0
22.0,3,6.577812871776677e-08,0
22.0,4,1.216343873967558e-07,0
22.0,5,6.412525522251463e-08,0
22.0,6,1.2760869950731716e-07,0
22.0,7,1.0309398749654391e-07,0
22.0,8,1.2509089816478866e-07,0
22.0,9,6.153140382214768e-08,0
22.0,10,7.643621323791879e-08,0
22.0,11,7.76116715999927e-08,0
22.0,12,8.402660948034149e-08,0
22.0,13,7.520695367517205e-08,0
22.0,14,8.259211496926935e-08,0
22.0,15,2.1021981183205263e-07,0
24.0,0,6.729763816579947e-08,0
24.0,1,7.146442703495272e-08,0
24.0,2,1.269825464594771e-07,0
24.0,3,6.591183981596165e-08,0
24.0,4,1.2164270068972913e-07,0
24.0,5,6.37754897440222e-08,0
24.0,6,1.2764898967918119e-07,0
24.0,7,1.0314137275975635e-07,0
24.0,8,1.2489198058136134e-07,0
24.0,9,6.163273039494561e-08,0
24.0,10,7.548795484759059e-08,0
24.0,11,7.76116715999927e-08,0
24.0,12,8.398105881012141e-08,0
24.0,13,7.484920304331489e-08,0
24.0,14,8.239187587598871e-08,0
24.0,15,2.125585091209938e-07,0
26.000000000000004,0,7.005577921259652e-08,0
26.000000000000004,1,7.177468402105071e-08,0
26.000000000000004,2,1.2733000985331917e-07,0
