dt,5e-10
freqs,channel,p1,chi2
0.0,0,6.398558155488299e-08,0
0.0,1,6.099906370204942e-08,0
0.0,2,1.2835834945390824e-07,0
0.0,3,8.256721811078146e-08,0
0.0,4,9.778382322019129e-08,0
0.0,5,6.408360295002964e-08,0
0.0,6,1.293100627729045e-07,0
0.0,7,9.56600788423081e-08,0
0.0,8,9.913802230192596e-08,0
0.0,9,6.151374871566203e-08,0
0.0,10,7.335036103241114e-08,0
0.0,11,8.655619456670275e-08,0
0.0,12,8.387717545555378e-08,0
0.0,13,5.69983054918492e-08,0
0.0,14,8.370720473770463e-08,0
0.0,15,7.352350418403497e-08,0
2.0,0,6.351100539077761e-08,0
2.0,1,6.094345204958207e-08,0
2.0,2,1.2833011399560766e-07,0
2.0,3,8.26215009014814e-08,0
2.0,4,9.802159446659825e-08,0
2.0,5,6.372908171287783e-08,0
2.0,6,1.2940722596493349e-07,0
2.0,7,9.590163167013458e-08,0
2.0,8,9.911335704089832e-08,0
2.0,9,6.152062117375433e-08,0
2.0,10,7.331968409093927e-08,0
2.0,11,8.583353170912421e-08,0
2.0,12,8.387717545555378e-08,0
2.0,13,5.717304243473543e-08,0
2.0,14,8.370985713065091e-08,0
2.0,15,7.422768865480071e-08,0
4.0,0,6.396002660614521e-08,0
4.0,1,6.108261317458195e-08,0
4.0,2,1.284429221089165e-07,0
4.0,3,8.270456782850785e-08,0
4.0,4,9.81877374278373e-08,0
4.0,5,6.405452724458353e-08,0
4.0,6,1.303730438605481e-07,0
4.0,7,9.607528846950527e-08,0
4.0,8,9.92452507343456e-08,0
4.0,9,6.152475273385451e-08,0
4.0,10,7.349760348862564e-08,0
4.0,11,8.68237627701802e-08,0
4.0,12,8.38937138833684e-08,0
4.0,13,5.748031885682599e-08,0
4.0,14,8.378220652926675e-08,0
4.0,15,7.41126530589e-08,0
6.0,0,6.473916378616495e-08,0
6.0,1,6.10498279709531e-08,0
6.0,2,1.283985871810098e-07,0
6.0,3,8.26589905554657e-08,0
6.0,4,9.800002918810054e-08,0
6.0,5,6.435492620578798e-08,0
6.0,6,1.2982797724875207e-07,0
6.0,7,9.586906572440275e-08,0
6.0,8,9.921241081754182e-08,0
6.0,9,6.152475273385451e-08,0
6.0,10,7.3659464052387e-08,0
6.0,11,8.756459876315877e-08,0
6.0,12,8.38937138833684e-08,0
6.0,13,5.725234452457515e-08,0
6.0,14,8.373289892847645e-08,0
6.0,15,7.352601900873758e-08,0
8.0,0,6.473236050337152e-08,0
8.0,1,6.113941652764787e-08,0
8.0,2,1.284853097863747e-07,0
8.0,3,8.276612036858763e-08,0
8.0,4,9.832330552961891e-08,0
8.0,5,6.431462846175137e-08,0
8.0,6,1.3072397406921849e-07,0
8.0,7,9.619236824654878e-08,0
8.0,8,9.934861609876009e-08,0
8.0,9,6.152062117375433e-08,0
8.0,10,7.37203661331962e-08,0
8.0,11,8.81045996803854e-08,0
8.0,12,8.389786372468814e-08,0
8.0,13,5.7704392676684316e-08,0
8.0,14,8.38072345877961e-08,0
8.0,15,7.407490873802348e-08,0
10.0,0,6.408944299536335e-08,0
10.0,1,6.10366438157923e-08,0
10.0,2,1.2845062739188907e-07,0
