dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
0.0,0,6.299759168201501e-08,0
0.0,1,6.646055880641658e-08,0
0.0,2,1.2585650351521924e-07,0
0.0,3,7.314951471369437e-08,0
0.0,4,1.171686769244502e-07,0
0.0,5,6.267965101228179e-08,0
0.0,6,1.251867690054408e-07,0
0.0,7,9.750274715193556e-08,0
0.0,8,1.1268021320178307e-07,0
0.0,9,6.151227484644457e-08,0
0.0,10,7.339405991272052e-08,0
0.0,11,7.949214846885679e-08,0
0.0,12,8.381872059379885e-08,0
0.0,13,6.607859057324246e-08,0
0.0,14,8.13888814024611e-08,0
0.0,15,1.5897852939039346e-07,0
2.0,0,6.28898449451134e-08,0
2.0,1,6.6191323450139e-08,0
2.0,2,1.257935015999319e-07,0
2.0,3,7.317987299591831e-08,0
2.0,4,1.1716446349317547e-07,0
2.0,5,6.258582263792873e-08,0
2.0,6,1.2512295434230845e-07,0
2.0,7,9.79003420692966e-08,0
2.0,8,1.1257804496853906e-07,0
2.0,9,6.151553884302348e-08,0
2.0,10,7.343615190687179e-08,0
2.0,11,7.94068234529453e-08,0
2.0,12,8.383565191711743e-08,0
2.0,13,6.620952641181319e-08,0
2.0,14,8.11306123719837e-08,0
2.0,15,1.6130181274055302e-07,0
4.0,0,6.318553198048098e-08,0
4.0,1,6.700267577654649e-08,0
4.0,2,1.262009876062784e-07,0
4.0,3,7.339598916672337e-08,0
4.0,4,1.1752302538585736e-07,0
4.0,5,6.282386109391999e-08,0
4.0,6,1.255411849310864e-07,0
4.0,7,9.835958171489289e-08,0
4.0,8,1.1284784676256902e-07,0
4.0,9,6.152112270016242e-08,0
4.0,10,7.360713931141886e-08,0
4.0,11,7.95619390149141e-08,0
4.0,12,8.386799549369031e-08,0
4.0,13,6.636882806532395e-08,0
4.0,14,8.16719590885907e-08,0
4.0,15,1.613022604914496e-07,0
6.0,0,6.32970029638673e-08,0
6.0,1,6.694014008793276e-08,0
6.0,2,1.261015412745941e-07,0
6.0,3,7.327970945071803e-08,0
6.0,4,1.1738772950473088e-07,0
6.0,5,6.279577710220617e-08,0
6.0,6,1.2547076329391462e-07,0
6.0,7,9.779278533786571e-08,0
6.0,8,1.1289350141086291e-07,0
6.0,9,6.152066553748488e-08,0
6.0,10,7.353248141683734e-08,0
6.0,11,7.968125822493287e-08,0
6.0,12,8.385160773321354e-08,0
6.0,13,6.620651034444191e-08,0
6.0,14,8.163969295705548e-08,0
6.0,15,1.5880992924658557e-07,0
8.0,0,6.341861462185654e-08,0
8.0,1,6.733079012225014e-08,0
8.0,2,1.2641123122799967e-07,0
8.0,3,7.350254831896538e-08,0
8.0,4,1.178114688470366e-07,0
8.0,5,6.294955926531054e-08,0
8.0,6,1.2574333059186318e-07,0
8.0,7,9.863584814731543e-08,0
8.0,8,1.1309206131666492e-07,0
8.0,9,6.152672950810721e-08,0
8.0,10,7.377167016245598e-08,0
8.0,11,7.972672583255704e-08,0
8.0,12,8.3887636841051e-08,0
8.0,13,6.649043389596908e-08,0
8.0,14,8.190822342572318e-08,0
8.0,15,1.6107604722874592e-07,0
10.0,0,6.324482726331219e-08,0
10.0,1,6.68764463848558e-08,0
10.0,2,1.2615398267445286e-07,0
10.0,3,7.339342656006419e-08,0
10.0,4,1.1747911759360374e-07,0
10.0,5,6.276474026675175e-08,0
10.0,6,1.2551995621554818e-07,0
10.0,7,9.851296667069497e-08,0
10.0,8,1.1293917943498938e-07,0
10.0,9,6.152392470627693e-08,0
10.0,10,7.369128479776197e-08,0
