dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
20.0,0,7.243106468293437e-08,0
20.0,1,7.737059434702006e-08,0
20.0,2,1.2564154058250292e-07,0
20.0,3,1.4406219773919976e-07,0
20.0,4,1.325130958168593e-07,0
20.0,5,7.245384325531544e-08,0
20.0,6,1.425493335656116e-07,0
20.0,7,1.0618120376924525e-07,0
20.0,8,1.2768554836633974e-07,0
20.0,9,6.670166324133637e-08,0
20.0,10,8.38420215292294e-08,0
20.0,11,8.489327228406782e-08,0
20.0,12,9.187608719315311e-08,0
20.0,13,6.796427561453809e-08,0
20.0,14,8.387733141691739e-08,0
20.0,15,7.75255659820844e-08,0
22.0,0,7.252666000309106e-08,0
22.0,1,7.751867589403374e-08,0
22.0,2,1.2608938873123816e-07,0
22.0,3,1.4435862512805094e-07,0
22.0,4,1.3406513758903605e-07,0
22.0,5,7.254320534696434e-08,0
22.0,6,1.4315135186724616e-07,0
22.0,7,1.0624505153054029e-07,0
22.0,8,1.286109296992429e-07,0
22.0,9,6.876087630490567e-08,0
22.0,10,8.38420215292294e-08,0
22.0,11,8.535235084846758e-08,0
22.0,12,9.279682106624128e-08,0
22.0,13,6.826527184008538e-08,0
22.0,14,8.392195909823709e-08,0
22.0,15,7.851362280547014e-08,0
24.0,0,7.234991318848722e-08,0
24.0,1,7.763000704691013e-08,0
24.0,2,1.2585302953007667e-07,0
24.0,3,1.4434105470142874e-07,0
24.0,4,1.3354559176259382e-07,0
24.0,5,7.247081074107157e-08,0
24.0,6,1.4314223037782745e-07,0
24.0,7,1.0626128196800578e-07,0
24.0,8,1.2848166167746318e-07,0
24.0,9,6.920919683783596e-08,0
24.0,10,8.382615553044538e-08,0
24.0,11,8.511140421991089e-08,0
24.0,12,9.222201263134726e-08,0
24.0,13,6.8019745251042e-08,0
24.0,14,8.393279083007584e-08,0
24.0,15,8.190126342115975e-08,0
26.000000000000004,0,7.254869926998597e-08,0
26.000000000000004,1,7.790664112516313e-08,0
26.000000000000004,2,1.2651926926782792e-07,0
26.000000000000004,3,1.4534441853748636e-07,0
26.000000000000004,4,1.348668428714873e-07,0
26.000000000000004,5,7.259767366949318e-08,0
26.000000000000004,6,1.439139373397592e-07,0
26.000000000000004,7,1.0629347060507375e-07,0
26.000000000000004,8,1.2964073503138094e-07,0
26.000000000000004,9,7.010333830693786e-08,0
26.000000000000004,10,8.38420215292294e-08,0
26.000000000000004,11,8.575558573283769e-08,0
26.000000000000004,12,9.338712125008246e-08,0
26.000000000000004,13,6.868921318382167e-08,0
26.000000000000004,14,8.403217487011138e-08,0
26.000000000000004,15,8.05892519809569e-08,0
28.0,0,7.254287371734537e-08,0
28.0,1,7.788141948299267e-08,0
28.0,2,1.2652366067672907e-07,0
28.0,3,1.4694160994998618e-07,0
28.0,4,1.3519439639802588e-07,0
28.0,5,7.257951512426773e-08,0
28.0,6,1.441945805184219e-07,0
28.0,7,1.063467578453257e-07,0
28.0,8,1.294755490197459e-07,0
28.0,9,7.010706730186727e-08,0
28.0,10,8.387018376174291e-08,0
28.0,11,8.595455717932835e-08,0
28.0,12,9.335765896287804e-08,0
28.0,13,6.885068066312913e-08,0
28.0,14,8.407557097872003e-08,0
28.0,15,7.808257842482817e-08,0
30.0,0,7.261358975551034e-08,0
30.0,1,7.860905641830656e-08,0
