dt,5e-10
freqs,channel,p1,chi2
0.0,0,5.602139879391613e-08,0
0.0,1,9.500662169244622e-08,0
0.0,2,1.0330964713051247e-07,0
0.0,3,6.695210731744666e-08,0
0.0,4,9.851017746063405e-08,0
0.0,5,5.2074282235305644e-08,0
0.0,6,9.571293033586728e-08,0
0.0,7,8.129441314850916e-08,0
0.0,8,9.357103085054615e-08,0
0.0,9,5.031989488086648e-08,0
0.0,10,6.146617588839705e-08,0
0.0,11,6.037715464233722e-08,0
0.0,12,6.868382770670126e-08,0
0.0,13,3.9298862459779273e-08,0
0.0,14,6.174321711791333e-08,0
0.0,15,1.6662008642466787e-07,0
2.0,0,5.6135402194340455e-08,0
2.0,1,9.535051233599957e-08,0
2.0,2,1.0369480613784413e-07,0
2.0,3,6.736411973177238e-08,0
2.0,4,9.968816229586692e-08,0
2.0,5,5.217770273112841e-08,0
2.0,6,9.594360547166316e-08,0
2.0,7,8.200720989761244e-08,0
2.0,8,9.397864146322411e-08,0
2.0,9,5.033037276321858e-08,0
2.0,10,6.148245832073285e-08,0
2.0,11,6.059470644676697e-08,0
2.0,12,6.965173365877419e-08,0
2.0,13,3.932803228068932e-08,0
2.0,14,6.180069117725047e-08,0
2.0,15,1.6739370953577671e-07,0
4.0,0,5.635766259631255e-08,0
4.0,1,9.531810179597318e-08,0
4.0,2,1.0356574111567674e-07,0
4.0,3,6.71089880201127e-08,0
4.0,4,9.887988771470844e-08,0
4.0,5,5.218188151490262e-08,0
4.0,6,9.582990519692111e-08,0
4.0,7,8.142501701644487e-08,0
4.0,8,9.382078099768535e-08,0
4.0,9,5.031858679904668e-08,0
4.0,10,6.147222165896195e-08,0
4.0,11,6.05743216030583e-08,0
4.0,12,6.899214381830828e-08,0
4.0,13,3.934316612162023e-08,0
4.0,14,6.180601676051438e-08,0
4.0,15,1.6707992976220796e-07,0
6.0,0,5.612855294600878e-08,0
6.0,1,9.537369534005772e-08,0
6.0,2,1.0375849374581122e-07,0
6.0,3,6.738552784581544e-08,0
6.0,4,9.988350343072992e-08,0
6.0,5,5.217770273112841e-08,0
6.0,6,9.59894624052772e-08,0
6.0,7,8.208716002433794e-08,0
6.0,8,9.405636354101495e-08,0
6.0,9,5.032879764015955e-08,0
6.0,10,6.148350555862407e-08,0
6.0,11,6.061512422078777e-08,0
6.0,12,6.968625020501671e-08,0
6.0,13,3.933226707859933e-08,0
6.0,14,6.182753395299768e-08,0
6.0,15,1.6767479928839887e-07,0
8.0,0,5.651909382165953e-08,0
8.0,1,9.567277013164194e-08,0
8.0,2,1.0387617147274203e-07,0
8.0,3,6.735497408854681e-08,0
8.0,4,9.935736013230198e-08,0
8.0,5,5.22451300997596e-08,0
8.0,6,9.601540376112734e-08,0
8.0,7,8.167907717189163e-08,0
8.0,8,9.40548336282215e-08,0
8.0,9,5.0324878684508543e-08,0
8.0,10,6.147852768686772e-08,0
8.0,11,6.074657919803199e-08,0
8.0,12,6.948519809641654e-08,0
8.0,13,3.9387334122772973e-08,0
8.0,14,6.189092770356347e-08,0
8.0,15,1.67614446907991e-07,0
10.0,0,5.606477872898141e-08,0
10.0,1,9.520293223594639e-08,0
10.0,2,1.0367866890983372e-07,0
10.0,3,6.727244248411752e-08,0
10.0,4,9.960202338132625e-08,0
10.0,5,5.211010591042988e-08,0
10.0,6,9.594862451598341e-08,0
10.0,7,8.191038971739652e-08,0
10.0,8,9.399702487120891e-08,0
10.0,9,5.032643661359527e-08,0
10.0,10,6.147773692913924e-08,0
10.0,11,6.05492053316824e-08,0
10.0,12,6.954269054914193e-08,0
10.0,13,3.932389824567453e-08,0
10.0,14,6.184104715881335e-08,0
10.0,15,1.676296574225551e-07,0
12.0,0,5.663982481406096e-08,0
12.0,1,9.601116878389723e-08,0
12.0,2,1.0427347920118541e-07,0
12.0,3,6.777918173056618e-08,0
12.0,4,1.005963117628793e-07,0
12.0,5,5.237343352549805e-08,0
12.0,6,9.624521505563854e-08,0
12.0,7,8.236580183077683e-08,0
12.0,8,9.446551538304579e-08,0
12.0,9,5.033037805775904e-08,0
12.0,10,6.149265286687053e-08,0
12.0,11,6.095359921221207e-08,0
12.0,12,7.031488188350833e-08,0
12.0,13,3.941139656653128e-08,0
12.0,14,6.195997827216498e-08,0
12.0,15,1.683783047538809e-07,0
14.0,0,5.655877185402949e-08,0
14.0,1,9.595526708445972e-08,0
14.0,2,1.0410418071283434e-07,0
14.0,3,6.774009090285856e-08,0
14.0,4,1.0031420981932758e-07,0
14.0,5,5.232149417537252e-08,0
14.0,6,9.621895495143901e-08,0
14.0,7,8.230590659581269e-08,0
14.0,8,9.446034976489077e-08,0
14.0,9,5.033879861542209e-08,0
14.0,10,6.148611871544592e-08,0
14.0,11,6.089489841371838e-08,0
14.0,12,7.026234434106911e-08,0
14.0,13,3.9418019673996834e-08,0
14.0,14,6.196427014058343e-08,0
14.0,15,1.6828699573967593e-07,0
16.0,0,5.688097768643947e-08,0
16.0,1,9.647862264988316e-08,0
16.0,2,1.0457650885455866e-07,0
16.0,3,6.817092948877187e-08,0
16.0,4,1.0079271008367097e-07,0
16.0,5,5.2488021175461806e-08,0
16.0,6,9.649939085007079e-08,0
16.0,7,8.26879698364324e-08,0
16.0,8,9.484869187318074e-08,0
16.0,9,5.034063267200878e-08,0
16.0,10,6.149500200659797e-08,0
16.0,11,6.11262793548929e-08,0
16.0,12,7.084205701291139e-08,0
16.0,13,3.947154744362935e-08,0
16.0,14,6.214367725527315e-08,0
16.0,15,1.6899994598316102e-07,0
18.000000000000004,0,5.691459380611054e-08,0
18.000000000000004,1,9.650759645221485e-08,0
18.000000000000004,2,1.0444796666270573e-07,0
18.000000000000004,3,6.79918787424241e-08,0
18.000000000000004,4,1.0060971729311405e-07,0
18.000000000000004,5,5.2450442979093184e-08,0
18.000000000000004,6,9.645448860530149e-08,0
18.000000000000004,7,8.243760173845041e-08,0
18.000000000000004,8,9.46392151040404e-08,0
18.000000000000004,9,5.033117169312598e-08,0
18.000000000000004,10,6.148794755583118e-08,0
18.000000000000004,11,6.108855175107438e-08,0
18.000000000000004,12,7.050024625269745e-08,0
18.000000000000004,13,3.949719775021441e-08,0
18.000000000000004,14,6.209335433333137e-08,0
18.000000000000004,15,1.688102813358462e-07,0
20.0,0,5.7073642821928595e-08,0
20.0,1,9.688733117394047e-08,0
20.0,2,1.0475130733066656e-07,0
20.0,3,6.853694264305673e-08,0
20.0,4,1.0093494233183556e-07,0
20.0,5,5.257765608995899e-08,0
20.0,6,9.676218268101296e-08,0
20.0,7,8.294593670552982e-08,0
20.0,8,9.511130826138885e-08,0
20.0,9,5.0366314423461625e-08,0
20.0,10,6.149395760311338e-08,0
20.0,11,6.12204661392476e-08,0
20.0,12,7.125930917307023e-08,0
20.0,13,3.9545857384752196e-08,0
20.0,14,6.236525803883477e-08,0
20.0,15,1.696777287435931e-07,0
22.0,0,5.730104893466295e-08,0
22.0,1,9.701287839807972e-08,0
22.0,2,1.0487371248799814e-07,0
22.0,3,6.830293628605334e-08,0
22.0,4,1.0078346068917323e-07,0
22.0,5,5.2539717826845107e-08,0
22.0,6,9.679684298374576e-08,0
22.0,7,8.265316213328872e-08,0
22.0,8,9.51067296723687e-08,0
22.0,9,5.034381530409796e-08,0
22.0,10,6.149735685699884e-08,0
22.0,11,6.127250365421677e-08,0
22.0,12,7.104586781420095e-08,0
22.0,13,3.961311546273195e-08,0
22.0,14,6.247447331474068e-08,0
22.0,15,1.6942236959674033e-07,0
24.0,0,5.726828255118695e-08,0
24.0,1,9.74277577085446e-08,0
24.0,2,1.0499679083772276e-07,0
24.0,3,6.898760158578565e-08,0
24.0,4,1.0109541879634418e-07,0
24.0,5,5.274711800621489e-08,0
24.0,6,9.712408258228213e-08,0
24.0,7,8.319560345617755e-08,0
24.0,8,9.550046062304802e-08,0
24.0,9,5.042489769311866e-08,0
24.0,10,6.149500112911187e-08,0
24.0,11,6.135164016271676e-08,0
24.0,12,7.158966842249327e-08,0
24.0,13,3.965588324818759e-08,0
24.0,14,6.272722910390155e-08,0
24.0,15,1.7052601586265727e-07,0
26.000000000000004,0,5.77954377897747e-08,0
26.000000000000004,1,9.785465365880606e-08,0
26.000000000000004,2,1.0512757412103995e-07,0
26.000000000000004,3,6.905356547841024e-08,0
26.000000000000004,4,1.011559504584515e-07,0
26.000000000000004,5,5.283681861891396e-08,0
26.000000000000004,6,9.724290531874208e-08,0
26.000000000000004,7,8.319838033303738e-08,0
26.000000000000004,8,9.584484528652142e-08,0
26.000000000000004,9,5.038847663217917e-08,0
26.000000000000004,10,6.149656963624178e-08,0
26.000000000000004,11,6.153054351293054e-08,0
26.000000000000004,12,7.171546542918998e-08,0
26.000000000000004,13,3.977228414652653e-08,0
26.000000000000004,14,6.272606274544865e-08,0
26.000000000000004,15,1.7094503121456534e-07,0
28.0,0,5.78438242066847e-08,0
28.0,1,9.831354352167872e-08,0
28.0,2,1.0535600773588562e-07,0
28.0,3,6.944703226483922e-08,0
28.0,4,1.0132978085142851e-07,0
28.0,5,5.302179755986407e-08,0
28.0,6,9.773461081697107e-08,0
28.0,7,8.338471933116237e-08,0
28.0,8,9.594511578083054e-08,0
28.0,9,5.045217951720323e-08,0
28.0,10,6.150075178979116e-08,0
28.0,11,6.152066954182079e-08,0
28.0,12,7.185961509137044e-08,0
28.0,13,3.9831501770784086e-08,0
28.0,14,6.329090149956695e-08,0
28.0,15,1.7152786745624595e-07,0
30.0,0,5.846475998120227e-08,0
30.0,1,9.888967295842093e-08,0
30.0,2,1.0571868982087472e-07,0
30.0,3,6.98755893792562e-08,0
30.0,4,1.015550609616379e-07,0
30.0,5,5.3247442828848535e-08,0
30.0,6,9.83144269013633e-08,0
30.0,7,8.352498393924448e-08,0
30.0,8,9.664932372627104e-08,0
30.0,9,5.048748344230683e-08,0
30.0,10,6.150520733058369e-08,0
30.0,11,6.171314336797134e-08,0
30.0,12,7.216230377501995e-08,0
30.0,13,4.007721836595777e-08,0
30.0,14,6.384445482296534e-08,0
30.0,15,1.727065225165896e-07,0
32.0,0,5.873992867989237e-08,0
32.0,1,9.937401406460709e-08,0
32.0,2,1.0591485251352027e-07,0
32.0,3,7.015433546394203e-08,0
32.0,4,1.0170686744597258e-07,0
32.0,5,5.351593653263096e-08,0
32.0,6,9.904238097502374e-08,0
32.0,7,8.360280522291217e-08,0
32.0,8,9.692163126963375e-08,0
32.0,9,5.0559128016323275e-08,0
32.0,10,6.151071265071753e-08,0
32.0,11,6.175090310091941e-08,0
32.0,12,7.225591107073565e-08,0
32.0,13,4.020704771760388e-08,0
32.0,14,6.458725273852698e-08,0
32.0,15,1.7325951023953594e-07,0
34.0,0,5.8850711482094525e-08,0
34.0,1,9.945754092972037e-08,0
34.0,2,1.0607570792968016e-07,0
34.0,3,7.047430427189604e-08,0
34.0,4,1.0189439314491063e-07,0
34.0,5,5.3643650452173234e-08,0
34.0,6,9.93645293482976e-08,0
34.0,7,8.365787741215384e-08,0
34.0,8,9.720028171480659e-08,0
34.0,9,5.065952976383594e-08,0
34.0,10,6.1525984586046e-08,0
34.0,11,6.177060835366121e-08,0
34.0,12,7.237474866683815e-08,0
34.0,13,4.029688535745787e-08,0
34.0,14,6.522822304285351e-08,0
34.0,15,1.73801955279367e-07,0
36.00000000000001,0,5.93819109117794e-08,0
36.00000000000001,1,1.0006751414836017e-07,0
36.00000000000001,2,1.062964290165692e-07,0
36.00000000000001,3,7.101381706380174e-08,0
36.00000000000001,4,1.0205992396162539e-07,0
36.00000000000001,5,5.42800417132668e-08,0
36.00000000000001,6,1.0069159269535484e-07,0
36.00000000000001,7,8.371797248324138e-08,0
36.00000000000001,8,9.77126479290043e-08,0
36.00000000000001,9,5.075128165148247e-08,0
36.00000000000001,10,6.152730502675327e-08,0
36.00000000000001,11,6.18433292970257e-08,0
36.00000000000001,12,7.243135924195683e-08,0
36.00000000000001,13,4.056832462081925e-08,0
36.00000000000001,14,6.618128092479107e-08,0
36.00000000000001,15,1.7463357927369494e-07,0
38.0,0,5.9488864338195395e-08,0
38.0,1,1.001801758053273e-07,0
38.0,2,1.0637380991200792e-07,0
38.0,3,7.140600921284637e-08,0
38.0,4,1.0248117451266729e-07,0
38.0,5,5.441931343007016e-08,0
38.0,6,1.0104307716164253e-07,0
38.0,7,8.383895943951915e-08,0
38.0,8,9.815434621293051e-08,0
38.0,9,5.100656163972608e-08,0
38.0,10,6.1551179431574e-08,0
38.0,11,6.184040075915525e-08,0
38.0,12,7.25544624594967e-08,0
38.0,13,4.0666117624699566e-08,0
38.0,14,6.678349073944195e-08,0
38.0,15,1.7555972645593875e-07,0
40.0,0,5.989396905111787e-08,0
40.0,1,1.004516950372679e-07,0
40.0,2,1.0671007259306913e-07,0
40.0,3,7.153249432738125e-08,0
40.0,4,1.0236708039257045e-07,0
40.0,5,5.499829575126863e-08,0
40.0,6,1.017113354176045e-07,0
40.0,7,8.378995466074793e-08,0
40.0,8,9.832944514292273e-08,0
40.0,9,5.0953596453576665e-08,0
40.0,10,6.162813678738667e-08,0
40.0,11,6.190372300766355e-08,0
40.0,12,7.253500257140124e-08,0
40.0,13,4.087818190356726e-08,0
40.0,14,6.853371317640344e-08,0
40.0,15,1.7603147287554107e-07,0
42.0,0,6.04423986570633e-08,0
42.0,1,1.0116678372366071e-07,0
42.0,2,1.0710898131068685e-07,0
42.0,3,7.234426779696675e-08,0
42.0,4,1.0328397988071528e-07,0
42.0,5,5.60051062067095e-08,0
42.0,6,1.0337567993948871e-07,0
42.0,7,8.396925640080612e-08,0
42.0,8,9.939255345206362e-08,0
42.0,9,5.156599633212781e-08,0
42.0,10,6.165729716205463e-08,0
42.0,11,6.196734986438885e-08,0
42.0,12,7.26453865509775e-08,0
42.0,13,4.1258651860025755e-08,0
42.0,14,6.950572651300143e-08,0
42.0,15,1.7786631874643098e-07,0
44.0,0,6.092804641145108e-08,0
44.0,1,1.0180425410399812e-07,0
44.0,2,1.0783558678959458e-07,0
44.0,3,7.261380450813683e-08,0
44.0,4,1.034392048794978e-07,0
44.0,5,5.6617147361058806e-08,0
44.0,6,1.0377526531774618e-07,0
44.0,7,8.396057955319371e-08,0
44.0,8,9.990201408740721e-08,0
44.0,9,5.160334715608682e-08,0
44.0,10,6.194256679162365e-08,0
44.0,11,6.20206692407881e-08,0
44.0,12,7.265646231115514e-08,0
44.0,13,4.159429130559954e-08,0
44.0,14,7.060002808468254e-08,0
