dt,5e-10
freqs,channel,p1,chi2
0.0,0,6.214236188378963e-08,0
0.0,1,6.423268085851945e-08,0
0.0,2,1.2853100170009074e-07,0
0.0,3,7.312191353402005e-08,0
0.0,4,1.223934723709124e-07,0
0.0,5,6.313280409787854e-08,0
0.0,6,1.2818312668410374e-07,0
0.0,7,1.016082572548048e-07,0
0.0,8,1.1607082438134472e-07,0
0.0,9,6.149186938124422e-08,0
0.0,10,7.403953461984946e-08,0
0.0,11,7.302038594344038e-08,0
0.0,12,8.388306318431936e-08,0
0.0,13,5.988341427754197e-08,0
0.0,14,8.376626207883033e-08,0
0.0,15,2.1838120410690882e-07,0
2.0,0,6.192339127163891e-08,0
2.0,1,6.386542181675733e-08,0
2.0,2,1.2848073920717542e-07,0
2.0,3,7.304079190239697e-08,0
2.0,4,1.224899698084664e-07,0
2.0,5,6.308237798448674e-08,0
2.0,6,1.2822264129505076e-07,0
2.0,7,1.0260134969144479e-07,0
2.0,8,1.1612521093234203e-07,0
2.0,9,6.149186938124422e-08,0
2.0,10,7.404423880868979e-08,0
2.0,11,7.303067770534409e-08,0
2.0,12,8.387081768547005e-08,0
2.0,13,5.974869810846212e-08,0
2.0,14,8.377875153322231e-08,0
2.0,15,2.189833489243215e-07,0
4.0,0,6.210850657214606e-08,0
4.0,1,6.450411634341498e-08,0
4.0,2,1.2855558028019285e-07,0
4.0,3,7.315196265943809e-08,0
4.0,4,1.2340431581154797e-07,0
4.0,5,6.337961740146464e-08,0
4.0,6,1.2838658378748793e-07,0
4.0,7,1.0347241745396479e-07,0
4.0,8,1.1658799847749997e-07,0
4.0,9,6.149186938124422e-08,0
4.0,10,7.459268340696782e-08,0
4.0,11,7.306176814984069e-08,0
4.0,12,8.388920600833229e-08,0
4.0,13,6.01370216759363e-08,0
4.0,14,8.383428062701417e-08,0
4.0,15,2.2065925359782017e-07,0
6.0,0,6.254498526742154e-08,0
6.0,1,6.459856855606445e-08,0
6.0,2,1.2854941727165413e-07,0
6.0,3,7.324448634163637e-08,0
6.0,4,1.2289903921788618e-07,0
6.0,5,6.324627364319127e-08,0
6.0,6,1.2825711040954372e-07,0
6.0,7,1.0240824099507477e-07,0
6.0,8,1.163889585679782e-07,0
6.0,9,6.149186938124422e-08,0
6.0,10,7.432331431542023e-08,0
6.0,11,7.30479101456116e-08,0
6.0,12,8.39015320254097e-08,0
6.0,13,6.012112907996866e-08,0
6.0,14,8.37599966737297e-08,0
6.0,15,2.1902338827003275e-07,0
8.0,0,6.232934802450258e-08,0
8.0,1,6.477085795290088e-08,0
8.0,2,1.28564789342545e-07,0
8.0,3,7.319563342077964e-08,0
8.0,4,1.240984940591892e-07,0
8.0,5,6.351226339639091e-08,0
8.0,6,1.2844663688615257e-07,0
8.0,7,1.0387646043281356e-07,0
8.0,8,1.168493929835067e-07,0
8.0,9,6.149186938124422e-08,0
8.0,10,7.506428198885922e-08,0
8.0,11,7.307220397676015e-08,0
8.0,12,8.388920600833229e-08,0
8.0,13,6.032955681868245e-08,0
8.0,14,8.38525491562421e-08,0
8.0,15,2.217249583629742e-07,0
10.0,0,6.224618066755423e-08,0
10.0,1,6.43557988105543e-08,0
10.0,2,1.2852770895463668e-07,0
10.0,3,7.317469645469818e-08,0
10.0,4,1.232329820083881e-07,0
10.0,5,6.33633610580647e-08,0
10.0,6,1.2838525288220375e-07,0
10.0,7,1.034925893218123e-07,0
10.0,8,1.1662251089546318e-07,0
10.0,9,6.149186938124422e-08,0
10.0,10,7.470951564824298e-08,0
10.0,11,7.309318528902552e-08,0
10.0,12,8.388920600833229e-08,0
10.0,13,6.006557087707769e-08,0
10.0,14,8.380665285128521e-08,0
10.0,15,2.2068110133082035e-07,0
12.0,0,6.260553604972557e-08,0
12.0,1,6.517835983063576e-08,0
12.0,2,1.285739087062379e-07,0
12.0,3,7.3302679563151e-08,0
12.0,4,1.246031751807334e-07,0
12.0,5,6.361487774190414e-08,0
12.0,6,1.285739087062379e-07,0
12.0,7,1.0427628408230927e-07,0
12.0,8,1.1721809263216388e-07,0
12.0,9,6.149186938124422e-08,0
12.0,10,7.545365967977949e-08,0
12.0,11,7.309318528902552e-08,0
12.0,12,8.389844546119901e-08,0
12.0,13,6.041767986264139e-08,0
12.0,14,8.38525491562421e-08,0
12.0,15,2.237182297089906e-07,0
14.0,0,6.304254065551592e-08,0
14.0,1,6.541842128258396e-08,0
14.0,2,1.285861544235298e-07,0
14.0,3,7.333886307569964e-08,0
