dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
0.0,0,8.573579972036419e-08,0
0.0,1,1.6767957242233014e-08,0
0.0,2,6.079213828766707e-08,0
0.0,3,1.4053153878487543e-08,0
0.0,4,6.898184581095322e-08,0
0.0,5,5.029869622941159e-08,0
0.0,6,1.676710586111979e-08,0
0.0,7,5.4647843679007644e-08,0
0.0,8,5.070152015974768e-08,0
0.0,9,2.8008471470475252e-08,0
0.0,10,4.0372640228527244e-08,0
0.0,11,2.7954256800840167e-08,0
0.0,12,4.0963290619573076e-08,0
0.0,13,4.767368377546385e-08,0
0.0,14,4.053219201454461e-08,0
0.0,15,3.9058757973472154e-08,0
2.0,0,8.61712304826643e-08,0
2.0,1,1.6767957242233014e-08,0
2.0,2,6.094508132287898e-08,0
2.0,3,1.126642040293712e-08,0
2.0,4,6.949506232229563e-08,0
2.0,5,5.030383659932727e-08,0
2.0,6,1.6765402321021153e-08,0
2.0,7,5.5408377319260846e-08,0
2.0,8,5.074365981436007e-08,0
2.0,9,2.8028526929637824e-08,0
2.0,10,4.051956657260098e-08,0
2.0,11,2.795724140631169e-08,0
2.0,12,4.0911487777545866e-08,0
2.0,13,4.778711664393894e-08,0
2.0,14,4.0781778246442174e-08,0
2.0,15,3.910036146317417e-08,0
4.0,0,8.595445305509191e-08,0
4.0,1,1.6767957242233014e-08,0
4.0,2,6.09543260499723e-08,0
4.0,3,1.6764123984842495e-08,0
4.0,4,6.952284602215685e-08,0
4.0,5,5.030896519560594e-08,0
4.0,6,1.6767957242233014e-08,0
4.0,7,5.455700047274728e-08,0
4.0,8,5.078245560397194e-08,0
4.0,9,2.8020662201856175e-08,0
4.0,10,4.064309859857787e-08,0
4.0,11,2.7950849718747374e-08,0
4.0,12,4.171155529170449e-08,0
4.0,13,4.7876299057268305e-08,0
4.0,14,4.0762549321315143e-08,0
4.0,15,3.9060133598179246e-08,0
6.0,0,8.627012098820297e-08,0
6.0,1,1.676710586111979e-08,0
6.0,2,6.091458262660836e-08,0
6.0,3,8.705090509420823e-09,0
6.0,4,6.950422314014167e-08,0
6.0,5,5.0304686133446876e-08,0
6.0,6,1.6763697742969672e-08,0
6.0,7,5.554077749831988e-08,0
6.0,8,5.074768762831837e-08,0
6.0,9,2.802502879838978e-08,0
6.0,10,4.051890333871863e-08,0
6.0,11,2.7955961899765893e-08,0
6.0,12,4.081966721180034e-08,0
6.0,13,4.7809557414938806e-08,0
6.0,14,4.085895898068534e-08,0
6.0,15,3.9102087511913526e-08,0
8.0,0,8.620310793733138e-08,0
8.0,1,1.6767957242233014e-08,0
8.0,2,6.103928567943533e-08,0
8.0,3,1.6765402321021153e-08,0
8.0,4,6.984515278765808e-08,0
8.0,5,5.0317938769076324e-08,0
8.0,6,1.6767957242233014e-08,0
8.0,7,5.479610340412031e-08,0
8.0,8,5.086129031109344e-08,0
8.0,9,2.8039047295586112e-08,0
8.0,10,4.089491509931631e-08,0
8.0,11,2.7950849718747374e-08,0
8.0,12,4.224125571430459e-08,0
8.0,13,4.804806932309752e-08,0
8.0,14,4.102764065170921e-08,0
8.0,15,3.9080990060354943e-08,0
10.0,0,8.609447838663182e-08,0
10.0,1,1.6766680073351357e-08,0
10.0,2,6.077577323142507e-08,0
10.0,3,7.6910909555762e-09,0
10.0,4,6.911254007754509e-08,0
10.0,5,5.029481939733949e-08,0
10.0,6,1.6760285469211384e-08,0
10.0,7,5.54132616966691e-08,0
10.0,8,5.0715819793673214e-08,0
10.0,9,2.8018045473965813e-08,0
10.0,10,4.042727852961424e-08,0
10.0,11,2.7955961899765893e-08,0
10.0,12,4.065518996623854e-08,0
10.0,13,4.76617662928593e-08,0
10.0,14,4.0746493498681735e-08,0
10.0,15,3.9077016293455026e-08,0
12.0,0,8.672949854151903e-08,0
12.0,1,1.6767957242233014e-08,0
12.0,2,6.117814915218038e-08,0
12.0,3,1.5636517081198777e-08,0
12.0,4,7.034873798267661e-08,0
12.0,5,5.032434510572086e-08,0
12.0,6,1.6766680073351357e-08,0
12.0,7,5.5730623129585215e-08,0
12.0,8,5.091285124168086e-08,0
12.0,9,2.8049606788883348e-08,0
12.0,10,4.101620720487168e-08,0
12.0,11,2.795468297813737e-08,0
12.0,12,4.209138096059111e-08,0
12.0,13,4.816883812438814e-08,0
12.0,14,4.1400288774165184e-08,0
12.0,15,3.910940805936488e-08,0
14.0,0,8.667555251459551e-08,0
14.0,1,1.676710586111979e-08,0
14.0,2,6.108897425016318e-08,0
14.0,3,1.3894277231157967e-08,0
14.0,4,7.011181655891061e-08,0
14.0,5,5.030639697352148e-08,0
14.0,6,1.6765402321021153e-08,0
14.0,7,5.595438878631087e-08,0
14.0,8,5.0890373784441134e-08,0
14.0,9,2.804784414689608e-08,0
14.0,10,4.095731178787115e-08,0
14.0,11,2.7954256800840167e-08,0
14.0,12,4.189635679317956e-08,0
14.0,13,4.804397775602918e-08,0
14.0,14,4.135440388236385e-08,0
14.0,15,3.9091755805078944e-08,0
16.0,0,8.731471388720369e-08,0
16.0,1,1.6767957242233014e-08,0
16.0,2,6.125555218992736e-08,0
16.0,3,1.2843925814815225e-08,0
16.0,4,7.075004817491218e-08,0
16.0,5,5.032434510572086e-08,0
16.0,6,1.6766680073351357e-08,0
16.0,7,5.6719309327226816e-08,0
16.0,8,5.101479502049945e-08,0
16.0,9,2.806684998104481e-08,0
16.0,10,4.1355120560879734e-08,0
16.0,11,2.795724140631169e-08,0
16.0,12,4.2682493382170876e-08,0
16.0,13,4.833453937678006e-08,0
16.0,14,4.199190502635569e-08,0
16.0,15,3.911582496141696e-08,0
18.000000000000004,0,8.703682317483358e-08,0
18.000000000000004,1,1.6767957242233014e-08,0
18.000000000000004,2,6.122605438391896e-08,0
18.000000000000004,3,1.6762845064415128e-08,0
18.000000000000004,4,7.070339902744129e-08,0
18.000000000000004,5,5.0317938769076324e-08,0
18.000000000000004,6,1.6767957242233014e-08,0
18.000000000000004,7,5.599816921854038e-08,0
18.000000000000004,8,5.1033911526713674e-08,0
18.000000000000004,9,2.8058878614051493e-08,0
18.000000000000004,10,4.140680219428067e-08,0
18.000000000000004,11,2.795340464102514e-08,0
18.000000000000004,12,4.340947289384168e-08,0
18.000000000000004,13,4.832747166813057e-08,0
18.000000000000004,14,4.191670892113313e-08,0
