dt,5e-10
freqs,channel,p1,chi2
0.0,0,1.0926425287881151e-07,0
0.0,1,2.7950849718747374e-08,0
0.0,2,7.54112992161396e-08,0
0.0,3,7.265335540721281e-08,0
0.0,4,8.379470807952651e-08,0
0.0,5,6.154245915449082e-08,0
0.0,6,1.6770509831248423e-08,0
0.0,7,7.210839002847318e-08,0
0.0,8,6.18589850193412e-08,0
0.0,9,3.913589117894922e-08,0
0.0,10,6.142671588539632e-08,0
0.0,11,3.4991029613776576e-08,0
0.0,12,5.061530718708547e-08,0
0.0,13,6.095465010203218e-08,0
0.0,14,5.202481116453191e-08,0
0.0,15,5.031309756385572e-08,0
2.0,0,1.0926436864649666e-07,0
2.0,1,2.7950849718747374e-08,0
2.0,2,7.4535599249993e-08,0
2.0,3,7.259589295551793e-08,0
2.0,4,8.372433424927537e-08,0
2.0,5,6.151787017168026e-08,0
2.0,6,1.6770509831248423e-08,0
2.0,7,7.23964378607297e-08,0
2.0,8,6.18104543112531e-08,0
2.0,9,3.913353940445723e-08,0
2.0,10,6.130261148016732e-08,0
2.0,11,3.701747740400636e-08,0
2.0,12,5.044130987936972e-08,0
2.0,13,6.07555512288816e-08,0
2.0,14,5.199531562138065e-08,0
2.0,15,5.031623502400095e-08,0
4.0,0,1.0955337727516521e-07,0
4.0,1,2.7950849718747374e-08,0
4.0,2,7.518965935310079e-08,0
4.0,3,7.26462304477118e-08,0
4.0,4,8.387524267428171e-08,0
4.0,5,6.153689406497937e-08,0
4.0,6,1.6770509831248423e-08,0
4.0,7,7.251988856182902e-08,0
4.0,8,6.188398561830578e-08,0
4.0,9,3.913824493221656e-08,0
4.0,10,6.156596589007154e-08,0
4.0,11,3.698612439527269e-08,0
4.0,12,5.051857282499525e-08,0
4.0,13,6.094239720864678e-08,0
4.0,14,5.2129268495499e-08,0
4.0,15,5.032094055425663e-08,0
6.0,0,1.094499489506459e-07,0
6.0,1,2.7950849718747374e-08,0
6.0,2,7.606354549024375e-08,0
6.0,3,7.265650654418208e-08,0
6.0,4,8.385764193177545e-08,0
6.0,5,6.155845677138531e-08,0
6.0,6,1.6770509831248423e-08,0
6.0,7,7.21765204854697e-08,0
6.0,8,6.194741488711173e-08,0
6.0,9,3.914374473245351e-08,0
6.0,10,6.159958694162211e-08,0
6.0,11,3.505231560659191e-08,0
6.0,12,5.071802622643379e-08,0
6.0,13,6.103265869474646e-08,0
6.0,14,5.2101872382534854e-08,0
6.0,15,5.031309756385572e-08,0
8.0,0,1.0983196483605003e-07,0
8.0,1,2.7950849718747374e-08,0
8.0,2,7.574389119095968e-08,0
8.0,3,7.26580688725954e-08,0
8.0,4,8.395565170581195e-08,0
8.0,5,6.155601497770883e-08,0
8.0,6,1.6770509831248423e-08,0
8.0,7,7.256892086509571e-08,0
8.0,8,6.197131826328113e-08,0
8.0,9,3.914060066675768e-08,0
8.0,10,6.173137033306992e-08,0
8.0,11,3.6890515249746384e-08,0
8.0,12,5.060054844355468e-08,0
8.0,13,6.102028641745322e-08,0
8.0,14,5.220005795703557e-08,0
8.0,15,5.032094055425663e-08,0
10.0,0,1.0958850912616373e-07,0
10.0,1,2.7950849718747374e-08,0
10.0,2,7.488990579572359e-08,0
10.0,3,7.260554625408176e-08,0
10.0,4,8.381697534750917e-08,0
10.0,5,6.15393644529838e-08,0
10.0,6,1.6770509831248423e-08,0
10.0,7,7.258131219648709e-08,0
10.0,8,6.191682347651567e-08,0
10.0,9,3.913824493221656e-08,0
10.0,10,6.153955271744279e-08,0
10.0,11,3.743116532198278e-08,0
10.0,12,5.049592746063978e-08,0
10.0,13,6.085501457752592e-08,0
10.0,14,5.2137527033899785e-08,0
10.0,15,5.031623502400095e-08,0
12.0,0,1.0994748038524428e-07,0
12.0,1,2.7950849718747374e-08,0
12.0,2,7.649789528120299e-08,0
12.0,3,7.267220926874318e-08,0
12.0,4,8.399562939279072e-08,0
12.0,5,6.158257239484903e-08,0
12.0,6,1.6770509831248423e-08,0
12.0,7,7.263206442175034e-08,0
12.0,8,6.207552981620647e-08,0
12.0,9,3.914060066675768e-08,0
12.0,10,6.187909090905516e-08,0
12.0,11,3.679251302668009e-08,0
12.0,12,5.0736099362890805e-08,0
12.0,13,6.109706205728171e-08,0
12.0,14,5.227221339002062e-08,0
12.0,15,5.032094055425663e-08,0
14.0,0,1.099220340707694e-07,0
14.0,1,2.7950849718747374e-08,0
14.0,2,7.728495686036467e-08,0
14.0,3,7.26769187632198e-08,0
14.0,4,8.398765900382519e-08,0
14.0,5,6.160869801161746e-08,0
14.0,6,1.6770509831248423e-08,0
14.0,7,7.243885656390894e-08,0
14.0,8,6.212462014194926e-08,0
14.0,9,3.914374473245351e-08,0
14.0,10,6.190987810086656e-08,0
14.0,11,3.584373201477087e-08,0
14.0,12,5.092300861748667e-08,0
14.0,13,6.114601710631862e-08,0
14.0,14,5.228079390574792e-08,0
14.0,15,5.031623370407662e-08,0
16.0,0,1.1027171982559465e-07,0
16.0,1,2.7950849718747374e-08,0
16.0,2,7.610822960051863e-08,0
16.0,3,7.26604206353738e-08,0
16.0,4,8.40105485759174e-08,0
16.0,5,6.160448746412301e-08,0
16.0,6,1.6770509831248423e-08,0
16.0,7,7.2746877611714e-08,0
16.0,8,6.212753213104821e-08,0
16.0,9,3.914060066675768e-08,0
16.0,10,6.195657116210682e-08,0
16.0,11,3.7621784061135736e-08,0
16.0,12,5.069558697079676e-08,0
16.0,13,6.10552166880903e-08,0
16.0,14,5.233704613621432e-08,0
16.0,15,5.032094055425663e-08,0
18.000000000000004,0,1.1053311798551593e-07,0
18.000000000000004,1,2.7950849718747374e-08,0
18.000000000000004,2,7.64186038626244e-08,0
18.000000000000004,3,7.266278233797799e-08,0
18.000000000000004,4,8.404272503615481e-08,0
18.000000000000004,5,6.163397193474755e-08,0
18.000000000000004,6,1.6770509831248423e-08,0
18.000000000000004,7,7.278882621830209e-08,0
18.000000000000004,8,6.223420989257507e-08,0
18.000000000000004,9,3.914295838507527e-08,0
18.000000000000004,10,6.20670816731585e-08,0
18.000000000000004,11,3.773364712030895e-08,0
18.000000000000004,12,5.074699563066778e-08,0
18.000000000000004,13,6.10959935665538e-08,0
18.000000000000004,14,5.2403001851452924e-08,0
18.000000000000004,15,5.032094055425663e-08,0
20.0,0,1.1049135676360891e-07,0
20.0,1,2.7950849718747374e-08,0
20.0,2,7.901591309205762e-08,0
20.0,3,7.268791199330425e-08,0
20.0,4,8.411118114940621e-08,0
20.0,5,6.17049366674331e-08,0
20.0,6,1.6770509831248423e-08,0
20.0,7,7.266720165159439e-08,0
20.0,8,6.244924100546902e-08,0
20.0,9,3.914689233080742e-08,0
20.0,10,6.227916420485854e-08,0
20.0,11,3.654899808431782e-08,0
20.0,12,5.130345278851348e-08,0
20.0,13,6.123814278057623e-08,0
20.0,14,5.2597013338151135e-08,0
20.0,15,5.0317800015274985e-08,0
22.0,0,1.1110583867403635e-07,0
22.0,1,2.7950849718747374e-08,0
22.0,2,7.944677284445159e-08,0
22.0,3,7.267926459471339e-08,0
22.0,4,8.421377568220515e-08,0
22.0,5,6.173961276181408e-08,0
22.0,6,1.6770509831248423e-08,0
22.0,7,7.283023527422018e-08,0
22.0,8,6.262119664260775e-08,0
22.0,9,3.9152409146311164e-08,0
22.0,10,6.250671767732044e-08,0
22.0,11,3.752579196420686e-08,0
22.0,12,5.1311059632276e-08,0
22.0,13,6.125670009351417e-08,0
22.0,14,5.2794541871672825e-08,0
22.0,15,5.032094055425663e-08,0
24.0,0,1.1110644262226229e-07,0
24.0,1,2.7950849718747374e-08,0
24.0,2,7.768331778405644e-08,0
24.0,3,7.267457097974601e-08,0
24.0,4,8.411827023877012e-08,0
24.0,5,6.173705227351394e-08,0
24.0,6,1.6770509831248423e-08,0
24.0,7,7.285109470694314e-08,0
24.0,8,6.255732948558067e-08,0
24.0,9,3.915714649496783e-08,0
24.0,10,6.238572174757125e-08,0
24.0,11,3.826281369265417e-08,0
24.0,12,5.09912014284707e-08,0
24.0,13,6.116244865241612e-08,0
24.0,14,5.2659667704007576e-08,0
24.0,15,5.032094055425663e-08,0
26.000000000000004,0,1.1170285625010191e-07,0
26.000000000000004,1,2.7950849718747374e-08,0
26.000000000000004,2,8.024947973191673e-08,0
26.000000000000004,3,7.268633775217304e-08,0
26.000000000000004,4,8.427516499173606e-08,0
26.000000000000004,5,6.192733551816672e-08,0
26.000000000000004,6,1.6770509831248423e-08,0
26.000000000000004,7,7.292192495397922e-08,0
26.000000000000004,8,6.299748848609408e-08,0
26.000000000000004,9,3.916426753490756e-08,0
26.000000000000004,10,6.282652615447398e-08,0
26.000000000000004,11,3.806572950190988e-08,0
26.000000000000004,12,5.165084104276859e-08,0
26.000000000000004,13,6.128916771880158e-08,0
26.000000000000004,14,5.3068037383197643e-08,0
26.000000000000004,15,5.032094055425663e-08,0
28.0,0,1.1184262813775264e-07,0
28.0,1,2.7950849718747374e-08,0
28.0,2,8.120627390841685e-08,0
28.0,3,7.271163218795155e-08,0
28.0,4,8.437300729205052e-08,0
28.0,5,6.205588837896285e-08,0
28.0,6,1.6770509831248423e-08,0
28.0,7,7.285871331469643e-08,0
28.0,8,6.342125734977268e-08,0
28.0,9,3.915793683085756e-08,0
28.0,10,6.287699147537625e-08,0
28.0,11,3.7294151995404944e-08,0
28.0,12,5.293070002683069e-08,0
28.0,13,6.13713569507236e-08,0
28.0,14,5.325724778745757e-08,0
28.0,15,5.032094055425663e-08,0
30.0,0,1.125086736765794e-07,0
30.0,1,2.7950849718747374e-08,0
30.0,2,8.12557583063696e-08,0
30.0,3,7.27100445983117e-08,0
30.0,4,8.443729496625776e-08,0
30.0,5,6.221617711481974e-08,0
30.0,6,1.6770509831248423e-08,0
30.0,7,7.297478279719811e-08,0
30.0,8,6.371415068008062e-08,0
30.0,9,3.919533520271093e-08,0
30.0,10,6.337633843468012e-08,0
30.0,11,3.859020541814154e-08,0
30.0,12,5.250182999802138e-08,0
30.0,13,6.134616555994753e-08,0
30.0,14,5.3428561425731224e-08,0
30.0,15,5.032565797717513e-08,0
32.0,0,1.1256040105487223e-07,0
32.0,1,2.7950849718747374e-08,0
32.0,2,8.076882142256593e-08,0
32.0,3,7.271962377208287e-08,0
32.0,4,8.445392384616839e-08,0
32.0,5,6.229507015643935e-08,0
32.0,6,1.6770509831248423e-08,0
32.0,7,7.298872803060505e-08,0
32.0,8,6.366401242823206e-08,0
32.0,9,3.9202553477868656e-08,0
32.0,10,6.335525936249405e-08,0
32.0,11,3.876851638841917e-08,0
32.0,12,5.2225366581086456e-08,0
32.0,13,6.132867052014131e-08,0
32.0,14,5.345141497396151e-08,0
32.0,15,5.032801967057049e-08,0
34.0,0,1.1329899844026804e-07,0
34.0,1,2.7950849718747374e-08,0
34.0,2,8.238228499050553e-08,0
34.0,3,7.284160835794771e-08,0
34.0,4,8.470853827355955e-08,0
34.0,5,6.301899854562086e-08,0
34.0,6,1.6770509831248423e-08,0
