dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
0.0,0,6.290997213437032e-08,0
0.0,1,5.767035785669076e-08,0
0.0,2,1.2597303621128216e-07,0
0.0,3,7.882343641487626e-08,0
0.0,4,1.0865323796206224e-07,0
0.0,5,6.298837824052058e-08,0
0.0,6,1.210411082770526e-07,0
0.0,7,9.543055600025694e-08,0
0.0,8,1.1742386784282433e-07,0
0.0,9,6.150431568837089e-08,0
0.0,10,7.310589641065401e-08,0
0.0,11,8.209420321805294e-08,0
0.0,12,8.382567333920486e-08,0
0.0,13,6.39281258769999e-08,0
0.0,14,8.166434053307099e-08,0
0.0,15,7.737656314186064e-08,0
2.0,0,6.267044207675821e-08,0
2.0,1,5.756077707949789e-08,0
2.0,2,1.2584031957121778e-07,0
2.0,3,7.8918265577734e-08,0
2.0,4,1.0830054560551556e-07,0
2.0,5,6.275826173550665e-08,0
2.0,6,1.2104760382701566e-07,0
2.0,7,9.560187800968408e-08,0
2.0,8,1.1733075792049458e-07,0
2.0,9,6.151054775337131e-08,0
2.0,10,7.308947144245862e-08,0
2.0,11,8.176647671951036e-08,0
2.0,12,8.382567333920486e-08,0
2.0,13,6.403455537572558e-08,0
2.0,14,8.16216951946792e-08,0
2.0,15,7.810341703399739e-08,0
4.0,0,6.29002326249643e-08,0
4.0,1,5.778157959556979e-08,0
4.0,2,1.260919660341168e-07,0
4.0,3,7.904101002608632e-08,0
4.0,4,1.0978632724580153e-07,0
4.0,5,6.296761984084718e-08,0
4.0,6,1.2153130790097045e-07,0
4.0,7,9.5709672284931e-08,0
4.0,8,1.1784078241423891e-07,0
4.0,9,6.151322628647344e-08,0
4.0,10,7.319574235400587e-08,0
4.0,11,8.221914937418938e-08,0
4.0,12,8.387394693593112e-08,0
4.0,13,6.429624034970326e-08,0
4.0,14,8.186661515301455e-08,0
4.0,15,7.790942512133668e-08,0
6.0,0,6.328269015468156e-08,0
6.0,1,5.773902802040541e-08,0
6.0,2,1.2612303327256627e-07,0
6.0,3,7.894682100898307e-08,0
6.0,4,1.0928686189000261e-07,0
6.0,5,6.316054209134763e-08,0
6.0,6,1.2136103137568966e-07,0
6.0,7,9.555538929213184e-08,0
6.0,8,1.1795423483079644e-07,0
6.0,9,6.151322628647344e-08,0
6.0,10,7.329268267687604e-08,0
6.0,11,8.256290050436894e-08,0
6.0,12,8.385612686500613e-08,0
6.0,13,6.412768135472163e-08,0
6.0,14,8.184538899971483e-08,0
6.0,15,7.73237052331739e-08,0
8.0,0,6.327342918765874e-08,0
8.0,1,5.787207831718953e-08,0
8.0,2,1.2624340189045135e-07,0
8.0,3,7.914139886795853e-08,0
8.0,4,1.1052040905183388e-07,0
8.0,5,6.313807565730188e-08,0
8.0,6,1.2178983021162777e-07,0
8.0,7,9.577382751688891e-08,0
8.0,8,1.1823329391758545e-07,0
8.0,9,6.151054775337131e-08,0
8.0,10,7.332568290722611e-08,0
8.0,11,8.277290260058234e-08,0
8.0,12,8.387929638085336e-08,0
8.0,13,6.438710397751837e-08,0
8.0,14,8.208022710640676e-08,0
8.0,15,7.784028534933661e-08,0
10.0,0,6.29760746462614e-08,0
10.0,1,5.7702925879907106e-08,0
10.0,2,1.2609154693135543e-07,0
10.0,3,7.90802096056906e-08,0
10.0,4,1.0891978179993322e-07,0
10.0,5,6.28759090412305e-08,0
10.0,6,1.216834292428624e-07,0
10.0,7,9.588489959437831e-08,0
10.0,8,1.1777218590656263e-07,0
10.0,9,6.152127725756236e-08,0
10.0,10,7.330254605964768e-08,0
10.0,11,8.216640277771443e-08,0
10.0,12,8.389563331765831e-08,0
10.0,13,6.430086024850141e-08,0
10.0,14,8.188103209677664e-08,0
10.0,15,7.843639228467162e-08,0
12.0,0,6.362723344259757e-08,0
12.0,1,5.7973765583837213e-08,0
12.0,2,1.2637240360742257e-07,0
12.0,3,7.921787962578549e-08,0
12.0,4,1.1079274668176923e-07,0
12.0,5,6.329161416389347e-08,0
12.0,6,1.2204926259278704e-07,0
12.0,7,9.59419100412313e-08,0
12.0,8,1.1868758963905134e-07,0
12.0,9,6.152127725756236e-08,0
12.0,10,7.354192784712751e-08,0
12.0,11,8.330587638571771e-08,0
12.0,12,8.38846458257756e-08,0
12.0,13,6.456378385512571e-08,0
12.0,14,8.21982448572287e-08,0
12.0,15,7.781064830794723e-08,0
14.0,0,6.40017940297016e-08,0
14.0,1,5.798592116272068e-08,0
14.0,2,1.2644455986679082e-07,0
14.0,3,7.922003132496662e-08,0
14.0,4,1.1027880707214872e-07,0
14.0,5,6.337037653142817e-08,0
14.0,6,1.221128891590064e-07,0
14.0,7,9.591392611422915e-08,0
14.0,8,1.1872370571853788e-07,0
14.0,9,6.152217323616888e-08,0
14.0,10,7.369336934473942e-08,0
14.0,11,8.350050805229264e-08,0
14.0,12,8.388118915595393e-08,0
14.0,13,6.453409870852683e-08,0
14.0,14,8.223410110127453e-08,0
14.0,15,7.74726513179099e-08,0
16.0,0,6.382519048386117e-08,0
16.0,1,5.7967535435739994e-08,0
16.0,2,1.2645324101980212e-07,0
16.0,3,7.933647300081131e-08,0
16.0,4,1.1132509556429434e-07,0
16.0,5,6.325922040682938e-08,0
16.0,6,1.2254301997024263e-07,0
16.0,7,9.64454230462141e-08,0
16.0,8,1.1866851985854147e-07,0
16.0,9,6.153204789066263e-08,0
16.0,10,7.378896696298536e-08,0
16.0,11,8.374671117107646e-08,0
16.0,12,8.39308277310218e-08,0
16.0,13,6.468753818966782e-08,0
16.0,14,8.232364276168117e-08,0
16.0,15,7.830764374645013e-08,0
18.000000000000004,0,6.40055182111233e-08,0
18.000000000000004,1,5.8017852097589183e-08,0
18.000000000000004,2,1.2660959535744352e-07,0
18.000000000000004,3,7.93950599347196e-08,0
18.000000000000004,4,1.1150122752667872e-07,0
18.000000000000004,5,6.338623643379358e-08,0
18.000000000000004,6,1.2322212554047348e-07,0
18.000000000000004,7,9.669166248170745e-08,0
18.000000000000004,8,1.1890442556029286e-07,0
18.000000000000004,9,6.154285988961254e-08,0
18.000000000000004,10,7.400633939674465e-08,0
18.000000000000004,11,8.39215635999921e-08,0
18.000000000000004,12,8.39501466916325e-08,0
18.000000000000004,13,6.485304751197966e-08,0
18.000000000000004,14,8.247987397432498e-08,0
18.000000000000004,15,7.905157967513962e-08,0
20.0,0,6.518332441518938e-08,0
20.0,1,5.8161432563956196e-08,0
20.0,2,1.268269805988162e-07,0
20.0,3,7.950790830522277e-08,0
20.0,4,1.1173788907096118e-07,0
20.0,5,6.369172773976497e-08,0
20.0,6,1.231061512430085e-07,0
20.0,7,9.668719334275447e-08,0
20.0,8,1.196688660590019e-07,0
20.0,9,6.153654784946473e-08,0
