dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
0.0,0,1.1169792397039044e-07,0
0.0,1,1.1643102300060991e-07,0
0.0,2,7.889008897312553e-08,0
0.0,3,7.25372741321699e-08,0
0.0,4,8.38525491562421e-08,0
0.0,5,6.173406643969706e-08,0
0.0,6,2.7950849718747374e-08,0
0.0,7,8.046823005516136e-08,0
0.0,8,6.297675827255267e-08,0
0.0,9,4.931328486093286e-08,0
0.0,10,6.24615927388334e-08,0
0.0,11,2.7950849718747374e-08,0
0.0,12,5.0715151872355334e-08,0
0.0,13,6.105196496678452e-08,0
0.0,14,5.29135329379576e-08,0
0.0,15,5.031152949374527e-08,0
2.0,0,1.1162663460799345e-07,0
2.0,1,1.1633414145036707e-07,0
2.0,2,7.696466118983651e-08,0
2.0,3,7.241632120793774e-08,0
2.0,4,8.381218691838111e-08,0
2.0,5,6.167658804025507e-08,0
2.0,6,2.7941422787982198e-08,0
2.0,7,8.132398817924053e-08,0
2.0,8,6.292191285522665e-08,0
2.0,9,4.927383327664208e-08,0
2.0,10,6.249272950217752e-08,0
2.0,11,2.7950849718747374e-08,0
2.0,12,5.0436610748941044e-08,0
2.0,13,6.084038341035612e-08,0
2.0,14,5.268433544109217e-08,0
2.0,15,5.030210256298009e-08,0
4.0,0,1.1209917506248946e-07,0
4.0,1,1.1659808654604166e-07,0
4.0,2,7.848377208155202e-08,0
4.0,3,7.252738621320561e-08,0
4.0,4,8.393240872686711e-08,0
4.0,5,6.175806794999419e-08,0
4.0,6,2.7950849718747374e-08,0
4.0,7,8.166622976372183e-08,0
4.0,8,6.321571033306124e-08,0
4.0,9,4.9454008279073014e-08,0
4.0,10,6.261960431566657e-08,0
4.0,11,2.7950849718747374e-08,0
4.0,12,5.057772806249524e-08,0
4.0,13,6.106653036378502e-08,0
4.0,14,5.3043567436179225e-08,0
4.0,15,5.031152949374527e-08,0
6.0,0,1.1231504154780724e-07,0
6.0,1,1.1656020575324597e-07,0
6.0,2,7.940070010829647e-08,0
6.0,3,7.259589295551793e-08,0
6.0,4,8.389300876982776e-08,0
6.0,5,6.18383399856244e-08,0
6.0,6,2.7950849718747374e-08,0
6.0,7,8.062707056922914e-08,0
6.0,8,6.33026525130977e-08,0
6.0,9,4.9382273495242406e-08,0
6.0,10,6.250752525765218e-08,0
6.0,11,2.7950849718747374e-08,0
6.0,12,5.0924150857443844e-08,0
6.0,13,6.110980740667142e-08,0
6.0,14,5.332384904892634e-08,0
6.0,15,5.031152949374527e-08,0
8.0,0,1.1237970505475747e-07,0
8.0,1,1.1669074281033719e-07,0
8.0,2,7.953059687137312e-08,0
8.0,3,7.255694803278957e-08,0
8.0,4,8.397276786470985e-08,0
8.0,5,6.178921884633726e-08,0
8.0,6,2.7950849718747374e-08,0
8.0,7,8.187879894831236e-08,0
8.0,8,6.34313160964226e-08,0
8.0,9,4.951600530944246e-08,0
8.0,10,6.268281863012997e-08,0
8.0,11,2.7950849718747374e-08,0
8.0,12,5.075874308924523e-08,0
8.0,13,6.117356788978517e-08,0
8.0,14,5.348273407924959e-08,0
8.0,15,5.031152949374527e-08,0
10.0,0,1.1237970505475747e-07,0
10.0,1,1.1651906698595438e-07,0
10.0,2,7.775908416932549e-08,0
10.0,3,7.244703604859213e-08,0
10.0,4,8.391265851047598e-08,0
10.0,5,6.182070290734713e-08,0
10.0,6,2.7950849718747374e-08,0
10.0,7,8.193013777287126e-08,0
10.0,8,6.324807321313011e-08,0
10.0,9,4.940353711540631e-08,0
10.0,10,6.263420845670606e-08,0
10.0,11,2.7950849718747374e-08,0
10.0,12,5.052653603004333e-08,0
10.0,13,6.092144387677999e-08,0
10.0,14,5.308549291671416e-08,0
10.0,15,5.031152949374527e-08,0
12.0,0,1.1295998575990318e-07,0
12.0,1,1.168101544982338e-07,0
12.0,2,7.99824315028771e-08,0
12.0,3,7.260554625408176e-08,0
12.0,4,8.404323717945798e-08,0
12.0,5,6.189549175985429e-08,0
12.0,6,2.7950849718747374e-08,0
12.0,7,8.204726042162368e-08,0
12.0,8,6.373321110397396e-08,0
12.0,9,4.956475106614515e-08,0
12.0,10,6.272074294646501e-08,0
12.0,11,2.7950849718747374e-08,0
12.0,12,5.097476999554606e-08,0
