dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
0.0,0,1.616816496172313e-07,0
0.0,1,1.6771164647922167e-08,0
0.0,2,1.703311685792033e-08,0
0.0,3,1.660462541554729e-08,0
0.0,4,1.070689638520211e-07,0
0.0,5,5.0592484080718636e-08,0
0.0,6,6.127534871440885e-08,0
0.0,7,5.7869473932135e-08,0
0.0,8,6.574845217315855e-08,0
0.0,9,3.7698276710129255e-08,0
0.0,10,4.904436002396046e-08,0
0.0,11,2.8435373803218976e-08,0
0.0,12,6.261152841939636e-08,0
0.0,13,4.850598182139658e-08,0
0.0,14,4.644856594972826e-08,0
0.0,15,3.976804440996461e-08,0
2.0,0,1.61517742621722e-07,0
2.0,1,1.6770509831248423e-08,0
2.0,2,1.7032790113797848e-08,0
2.0,3,1.6771492113789936e-08,0
2.0,4,1.07210962080893e-07,0
2.0,5,5.062388166621021e-08,0
2.0,6,6.128763341719763e-08,0
2.0,7,5.903934366879995e-08,0
2.0,8,6.659627283332994e-08,0
2.0,9,3.7857846323114434e-08,0
2.0,10,4.9298405482764723e-08,0
2.0,11,2.8614462660183043e-08,0
2.0,12,6.264419137841142e-08,0
2.0,13,4.8582066643145055e-08,0
2.0,14,4.693853117838995e-08,0
2.0,15,3.9840613271647905e-08,0
4.0,0,1.6263140070690065e-07,0
4.0,1,1.6771492113789936e-08,0
4.0,2,1.7033770225950388e-08,0
4.0,3,1.6749809149037396e-08,0
4.0,4,1.0747212796184594e-07,0
4.0,5,5.067248937220186e-08,0
4.0,6,6.133038974774936e-08,0
4.0,7,5.761969486415378e-08,0
4.0,8,6.592171307090796e-08,0
4.0,9,3.783351481635905e-08,0
4.0,10,4.9172681671483636e-08,0
4.0,11,2.8424954087904705e-08,0
4.0,12,6.273578131021684e-08,0
4.0,13,4.867289979698847e-08,0
4.0,14,4.6752979679064036e-08,0
4.0,15,3.9936848269496244e-08,0
6.0,0,1.6139848774270418e-07,0
6.0,1,1.6770509831248423e-08,0
6.0,2,1.7030501782246218e-08,0
6.0,3,1.677247474159772e-08,0
6.0,4,1.0723378346694453e-07,0
6.0,5,5.062944400299828e-08,0
6.0,6,6.12978931548833e-08,0
6.0,7,5.905619290558422e-08,0
6.0,8,6.677619416089799e-08,0
6.0,9,3.787556623678108e-08,0
6.0,10,4.9302654956808044e-08,0
6.0,11,2.8600563548005222e-08,0
6.0,12,6.26314228343445e-08,0
6.0,13,4.858540580945676e-08,0
6.0,14,4.701033002994389e-08,0
6.0,15,3.978107336196664e-08,0
8.0,0,1.6304763497172733e-07,0
8.0,1,1.677247474159772e-08,0
8.0,2,1.7033770225950388e-08,0
8.0,3,1.6762641893255814e-08,0
8.0,4,1.0779464741122506e-07,0
8.0,5,5.076180154088619e-08,0
8.0,6,6.138087707995557e-08,0
8.0,7,5.7994602568889896e-08,0
8.0,8,6.628424622749376e-08,0
8.0,9,3.7916559011111705e-08,0
8.0,10,4.930757114217185e-08,0
8.0,11,2.8491555944520442e-08,0
8.0,12,6.281295438588815e-08,0
8.0,13,4.878648201077214e-08,0
8.0,14,4.7063019626433075e-08,0
8.0,15,4.003739518716447e-08,0
10.0,0,1.6101167830049726e-07,0
10.0,1,1.6770509831248423e-08,0
10.0,2,1.702591921703506e-08,0
10.0,3,1.6771492113789936e-08,0
10.0,4,1.0711363763589632e-07,0
10.0,5,5.06021562752797e-08,0
10.0,6,6.128724806632207e-08,0
10.0,7,5.9355012610937245e-08,0
10.0,8,6.665889451675155e-08,0
10.0,9,3.7725043076859914e-08,0
10.0,10,4.919867704022868e-08,0
10.0,11,2.8799216262214006e-08,0
10.0,12,6.25865247459645e-08,0
10.0,13,4.8442894220500376e-08,0
10.0,14,4.677397501987512e-08,0
10.0,15,4.000309263565323e-08,0
12.0,0,1.6282451650400945e-07,0
12.0,1,1.6771492113789936e-08,0
12.0,2,1.7033770225950388e-08,0
12.0,3,1.6771492113789936e-08,0
12.0,4,1.0793341341131786e-07,0
12.0,5,5.077675597735192e-08,0
12.0,6,6.137791468816341e-08,0
12.0,7,5.942948969916994e-08,0
12.0,8,6.742678985576633e-08,0
12.0,9,3.8078510422684306e-08,0
12.0,10,4.950811813499535e-08,0
12.0,11,2.8853078738438422e-08,0
12.0,12,6.284721477544756e-08,0
12.0,13,4.890690850589719e-08,0
12.0,14,4.75083342779532e-08,0
12.0,15,4.016037629237453e-08,0
14.0,0,1.6244164331712693e-07,0
14.0,1,1.6771164647922167e-08,0
14.0,2,1.703180964091209e-08,0
14.0,3,1.6692149169171633e-08,0
14.0,4,1.078466831909184e-07,0
14.0,5,5.076344642533576e-08,0
14.0,6,6.136483619349112e-08,0
14.0,7,5.8969801588999326e-08,0
14.0,8,6.74286751908117e-08,0
14.0,9,3.801566946570047e-08,0
14.0,10,4.944638414530785e-08,0
14.0,11,2.8758651756195355e-08,0
14.0,12,6.280233952045578e-08,0
14.0,13,4.8788759186487347e-08,0
14.0,14,4.742410246063276e-08,0
14.0,15,4.0129131030693106e-08,0
16.0,0,1.6325133662096534e-07,0
16.0,1,1.6770509831248423e-08,0
16.0,2,1.7032790113797848e-08,0
16.0,3,1.6771492113789936e-08,0
16.0,4,1.0839348522814197e-07,0
16.0,5,5.090151244407684e-08,0
16.0,6,6.140955094833761e-08,0
16.0,7,5.984544946630431e-08,0
16.0,8,6.833701309909394e-08,0
16.0,9,3.818226227917335e-08,0
16.0,10,4.9629156156103604e-08,0
16.0,11,2.9177142354222835e-08,0
16.0,12,6.295111987445359e-08,0
16.0,13,4.90315316623008e-08,0
16.0,14,4.788677567935318e-08,0
16.0,15,4.0301004221626236e-08,0
18.000000000000004,0,1.638924673009995e-07,0
18.000000000000004,1,1.6771492113789936e-08,0
18.000000000000004,2,1.7033770225950388e-08,0
18.000000000000004,3,1.6753763947716484e-08,0
18.000000000000004,4,1.0859535136531556e-07,0
18.000000000000004,5,5.0915960492923324e-08,0
18.000000000000004,6,6.143055714595583e-08,0
18.000000000000004,7,5.904457304223353e-08,0
18.000000000000004,8,6.783127737995455e-08,0
18.000000000000004,9,3.8119436141956255e-08,0
18.000000000000004,10,4.957173585939832e-08,0
18.000000000000004,11,2.8893064771881908e-08,0
18.000000000000004,12,6.302632453216251e-08,0
18.000000000000004,13,4.902838091419256e-08,0
18.000000000000004,14,4.7792818876887713e-08,0
18.000000000000004,15,4.060411562694124e-08,0
20.0,0,1.6318073770024088e-07,0
20.0,1,1.6770509831248423e-08,0
20.0,2,1.7032463329593896e-08,0
20.0,3,1.677247474159772e-08,0
20.0,4,1.0875307785375824e-07,0
20.0,5,5.102609583024305e-08,0
20.0,6,6.146025402423588e-08,0
20.0,7,6.011175261208912e-08,0
20.0,8,6.908244327545306e-08,0
20.0,9,3.820636214626483e-08,0
20.0,10,4.971006928824646e-08,0
20.0,11,2.9554179545869488e-08,0
20.0,12,6.298995603437052e-08,0
20.0,13,4.9043888079162657e-08,0
20.0,14,4.815979011393708e-08,0
20.0,15,4.051117605160662e-08,0
22.0,0,1.6458634850701797e-07,0
22.0,1,1.6771492113789936e-08,0
22.0,2,1.7033770225950388e-08,0
22.0,3,1.6768544920899127e-08,0
22.0,4,1.0915675125149963e-07,0
22.0,5,5.1090928187825725e-08,0
22.0,6,6.150057342163932e-08,0
22.0,7,5.959936393153737e-08,0
22.0,8,6.853147752539257e-08,0
22.0,9,3.818091816873742e-08,0
22.0,10,4.9672152437899264e-08,0
22.0,11,2.9308113687622792e-08,0
22.0,12,6.31604982627589e-08,0
22.0,13,4.9149734974484845e-08,0
22.0,14,4.8068305217942304e-08,0
22.0,15,4.1140553295126896e-08,0
24.0,0,1.6334417000112586e-07,0
24.0,1,1.6770509831248423e-08,0
24.0,2,1.703180964091209e-08,0
24.0,3,1.6771492113789936e-08,0
24.0,4,1.0913399043200002e-07,0
24.0,5,5.1226450924800825e-08,0
24.0,6,6.154546326252846e-08,0
24.0,7,6.041945983376851e-08,0
24.0,8,6.981536321250405e-08,0
24.0,9,3.8264531765941e-08,0
24.0,10,4.979258809785232e-08,0
24.0,11,3.029565416896847e-08,0
24.0,12,6.310605219174939e-08,0
24.0,13,4.916120571470657e-08,0
24.0,14,4.843939940939389e-08,0
24.0,15,4.1191716301069104e-08,0
26.000000000000004,0,1.6581020759032903e-07,0
26.000000000000004,1,1.6771492113789936e-08,0
26.000000000000004,2,1.7033770225950388e-08,0
26.000000000000004,3,1.6771492113789936e-08,0
26.000000000000004,4,1.1020438487814673e-07,0
26.000000000000004,5,5.146942547530289e-08,0
26.000000000000004,6,6.168563804489252e-08,0
26.000000000000004,7,6.048754956225463e-08,0
26.000000000000004,8,6.980192739150031e-08,0
26.000000000000004,9,3.8363560833238953e-08,0
26.000000000000004,10,4.988314371754498e-08,0
26.000000000000004,11,3.0677262974114996e-08,0
26.000000000000004,12,6.344269115047057e-08,0
26.000000000000004,13,4.9402726271931776e-08,0
26.000000000000004,14,4.861373624010079e-08,0
26.000000000000004,15,4.179503971951942e-08,0
28.0,0,1.6512291426338558e-07,0
28.0,1,1.6770509831248423e-08,0
28.0,2,1.7032463329593896e-08,0
28.0,3,1.6756723152585038e-08,0
28.0,4,1.105379221306819e-07,0
28.0,5,5.164414549949972e-08,0
28.0,6,6.173727678787798e-08,0
28.0,7,6.036052546405682e-08,0
28.0,8,7.039304067380534e-08,0
28.0,9,3.8386031530897875e-08,0
28.0,10,4.991734185153859e-08,0
28.0,11,3.075035651603024e-08,0
28.0,12,6.34194515425436e-08,0
28.0,13,4.9406934193548205e-08,0
28.0,14,4.883389683424686e-08,0
28.0,15,4.202012269673614e-08,0
30.0,0,1.676113312784006e-07,0
30.0,1,1.6771492113789936e-08,0
30.0,2,1.7033770225950388e-08,0
30.0,3,1.6771492113789936e-08,0
30.0,4,1.1199478843083826e-07,0
30.0,5,5.22740642150901e-08,0
30.0,6,6.197700075060092e-08,0
30.0,7,6.083706514564872e-08,0
30.0,8,7.077536524833267e-08,0
30.0,9,3.849790680494894e-08,0
30.0,10,5.00491526603832e-08,0
30.0,11,3.257224823450432e-08,0
30.0,12,6.384040231619222e-08,0
30.0,13,4.9635843275025015e-08,0
30.0,14,4.913114452477986e-08,0
30.0,15,4.2941092725959775e-08,0
32.0,0,1.6795039445320304e-07,0
32.0,1,1.6771492113789936e-08,0
32.0,2,1.7033770225950388e-08,0
32.0,3,1.6767561947643002e-08,0
32.0,4,1.1273758502869094e-07,0
32.0,5,5.2686511513935434e-08,0
32.0,6,6.21894253698773e-08,0
32.0,7,6.054840520560623e-08,0
32.0,8,7.11081700729852e-08,0
32.0,9,3.852917130461176e-08,0
32.0,10,5.0092987957763834e-08,0
32.0,11,3.147011215971648e-08,0
32.0,12,6.399103864854941e-08,0
32.0,13,4.9704496756750364e-08,0
32.0,14,4.931386355347362e-08,0
32.0,15,4.368422888143916e-08,0
34.0,0,1.674687659246184e-07,0
34.0,1,1.6771164647922167e-08,0
34.0,2,1.7032463329593896e-08,0
34.0,3,1.677247474159772e-08,0
34.0,4,1.1275380260036592e-07,0
34.0,5,5.289065021646539e-08,0
34.0,6,6.230460995609193e-08,0
34.0,7,6.106032250405795e-08,0
