dt,5e-10
freqs,channel,p1,chi2
0.0,0,6.158053187043929e-08,0
0.0,1,4.078167456436042e-08,0
0.0,2,1.215595401528411e-07,0
0.0,3,7.562730519515884e-08,0
0.0,4,8.470793069578975e-08,0
0.0,5,6.259287747168828e-08,0
0.0,6,1.1971534420727565e-07,0
0.0,7,9.512183367291767e-08,0
0.0,8,9.49390351936886e-08,0
0.0,9,6.148750206097567e-08,0
0.0,10,7.269411432338169e-08,0
0.0,11,8.959218888458383e-08,0
0.0,12,8.357784793050504e-08,0
0.0,13,5.028962443910676e-08,0
0.0,14,7.761293299843938e-08,0
0.0,15,1.3639204493191652e-07,0
2.0,0,6.15581036222839e-08,0
2.0,1,4.052055932910803e-08,0
2.0,2,1.2137054342801966e-07,0
2.0,3,7.548740276559542e-08,0
2.0,4,8.496744260007979e-08,0
2.0,5,6.251059866655232e-08,0
2.0,6,1.1969089893260862e-07,0
2.0,7,9.516039592120953e-08,0
2.0,8,9.504147609434591e-08,0
2.0,9,6.148531584086468e-08,0
2.0,10,7.269851595083139e-08,0
2.0,11,8.88664129202236e-08,0
2.0,12,8.360652700712845e-08,0
2.0,13,5.029840702908858e-08,0
2.0,14,7.65542717296803e-08,0
2.0,15,1.3912031179599207e-07,0
4.0,0,6.156481347303692e-08,0
4.0,1,4.075250777724315e-08,0
4.0,2,1.2220428151542967e-07,0
4.0,3,7.593837597745073e-08,0
4.0,4,8.504363650221145e-08,0
4.0,5,6.273884203940989e-08,0
4.0,6,1.1985784613528033e-07,0
4.0,7,9.517381769778516e-08,0
4.0,8,9.530618624099104e-08,0
4.0,9,6.149186938124422e-08,0
4.0,10,7.271176235796782e-08,0
4.0,11,8.944271909999159e-08,0
4.0,12,8.371162050219801e-08,0
4.0,13,5.0304975953365726e-08,0
4.0,14,7.808205114979105e-08,0
4.0,15,1.3905547735076818e-07,0
6.0,0,6.161223189199482e-08,0
6.0,1,4.096175302824097e-08,0
6.0,2,1.2216665169400987e-07,0
6.0,3,7.56859805953856e-08,0
6.0,4,8.479018932912261e-08,0
6.0,5,6.269259484028666e-08,0
