dt,5e-10
freqs,channel,p1,chi2
0.0,0,6.154303798484833e-08,0
0.0,1,6.041916109474093e-08,0
0.0,2,1.2532800357760916e-07,0
0.0,3,7.200536158509794e-08,0
0.0,4,1.1857792685766893e-07,0
0.0,5,6.32170256843598e-08,0
0.0,6,1.1852074204990371e-07,0
0.0,7,9.552979303874101e-08,0
0.0,8,1.185359078942008e-07,0
0.0,9,6.149186938124422e-08,0
0.0,10,7.277549185430898e-08,0
0.0,11,7.267220926874318e-08,0
0.0,12,8.38525491562421e-08,0
0.0,13,7.53263655865738e-08,0
0.0,14,8.292085416561721e-08,0
0.0,15,1.9697128213564324e-07,0
2.0,0,6.162821498962835e-08,0
2.0,1,6.023408114390059e-08,0
2.0,2,1.255140262107119e-07,0
2.0,3,7.203696268422618e-08,0
2.0,4,1.187970582939782e-07,0
2.0,5,6.337219927141449e-08,0
2.0,6,1.1843045517927315e-07,0
2.0,7,9.591323076716618e-08,0
2.0,8,1.1859929174778296e-07,0
2.0,9,6.149186938124422e-08,0
2.0,10,7.295171776593065e-08,0
2.0,11,7.267220926874318e-08,0
2.0,12,8.38525491562421e-08,0
2.0,13,7.548423414953836e-08,0
2.0,14,8.253721505183048e-08,0
2.0,15,1.990100499974813e-07,0
4.0,0,6.162821498962835e-08,0
4.0,1,6.050799947114431e-08,0
4.0,2,1.2651984626179043e-07,0
4.0,3,7.224219619614706e-08,0
4.0,4,1.1917339871114351e-07,0
4.0,5,6.36908461837618e-08,0
4.0,6,1.1876742414389774e-07,0
4.0,7,9.604316072032229e-08,0
4.0,8,1.1902403505233257e-07,0
4.0,9,6.149186938124422e-08,0
4.0,10,7.301528829056173e-08,0
4.0,11,7.267220926874318e-08,0
4.0,12,8.38525491562421e-08,0
4.0,13,7.56718126531941e-08,0
4.0,14,8.331021923632613e-08,0
4.0,15,1.988503308562313e-07,0
6.0,0,6.15689751735718e-08,0
6.0,1,6.040110451417115e-08,0
6.0,2,1.2560413092362102e-07,0
6.0,3,7.217530527374323e-08,0
6.0,4,1.1868984011004319e-07,0
6.0,5,6.337219927141449e-08,0
6.0,6,1.1882694572739268e-07,0
6.0,7,9.556000184240727e-08,0
6.0,8,1.1895779068373309e-07,0
6.0,9,6.149186938124422e-08,0
6.0,10,7.280191158762367e-08,0
6.0,11,7.267220926874318e-08,0
6.0,12,8.38525491562421e-08,0
6.0,13,7.547898915681822e-08,0
6.0,14,8.310527708149925e-08,0
6.0,15,1.975589846078272e-07,0
8.0,0,6.164823777127917e-08,0
8.0,1,6.063690221337666e-08,0
8.0,2,1.2685958992348808e-07,0
8.0,3,7.243432969666872e-08,0
8.0,4,1.1944763126318646e-07,0
8.0,5,6.39188212104818e-08,0
8.0,6,1.1898029827875519e-07,0
8.0,7,9.604316072032229e-08,0
8.0,8,1.1944877835688215e-07,0
8.0,9,6.149186938124422e-08,0
8.0,10,7.308025087047671e-08,0
8.0,11,7.267220926874318e-08,0
8.0,12,8.38525491562421e-08,0
8.0,13,7.583187054129723e-08,0
8.0,14,8.34879728555628e-08,0
8.0,15,1.9958977132498123e-07,0
10.0,0,6.17713778784317e-08,0
10.0,1,6.05601743906193e-08,0
10.0,2,1.264480694318543e-07,0
10.0,3,7.215267674608987e-08,0
10.0,4,1.1927389870890923e-07,0
10.0,5,6.358165253778608e-08,0
10.0,6,1.1910788760148879e-07,0
10.0,7,9.637736029603523e-08,0
10.0,8,1.192303389431138e-07,0
10.0,9,6.149186938124422e-08,0
10.0,10,7.305843919212949e-08,0
10.0,11,7.267220926874318e-08,0
10.0,12,8.38525491562421e-08,0
10.0,13,7.602631123499285e-08,0
10.0,14,8.289487063998224e-08,0
10.0,15,2.002739145065029e-07,0
12.0,0,6.170915513877512e-08,0
12.0,1,6.073056219046122e-08,0
12.0,2,1.2725857460182626e-07,0
12.0,3,7.249567758630898e-08,0
12.0,4,1.1959254562125655e-07,0
12.0,5,6.399780763189054e-08,0
12.0,6,1.1917339871114351e-07,0
12.0,7,9.617841567155857e-08,0
12.0,8,1.1974058673405362e-07,0
12.0,9,6.149186938124422e-08,0
12.0,10,7.305843919212949e-08,0
12.0,11,7.267220926874318e-08,0
12.0,12,8.38525491562421e-08,0
12.0,13,7.630218975169738e-08,0
12.0,14,8.363526339871121e-08,0
12.0,15,2.0079890437948113e-07,0
14.0,0,6.178538665752701e-08,0
14.0,1,6.073289069436441e-08,0
14.0,2,1.268269805988162e-07,0
14.0,3,7.237869199246038e-08,0
14.0,4,1.1942796610839463e-07,0
14.0,5,6.382859636737743e-08,0
14.0,6,1.195315021514582e-07,0
14.0,7,9.608763808973152e-08,0
14.0,8,1.2001212210817952e-07,0
14.0,9,6.149186938124422e-08,0
14.0,10,7.300815698170887e-08,0
14.0,11,7.267220926874318e-08,0
14.0,12,8.38525491562421e-08,0
14.0,13,7.638227721347376e-08,0
14.0,14,8.350232164169395e-08,0
14.0,15,1.9934037822143011e-07,0
16.0,0,6.196631184879491e-08,0
16.0,1,6.07118456681629e-08,0
16.0,2,1.27455874717488e-07,0
16.0,3,7.247537229889283e-08,0
16.0,4,1.2010395424601142e-07,0
16.0,5,6.420225480851668e-08,0
16.0,6,1.1982052064797656e-07,0
16.0,7,9.694733080529911e-08,0
16.0,8,1.2054097542572396e-07,0
16.0,9,6.149186938124422e-08,0
16.0,10,7.33549781168347e-08,0
16.0,11,7.267220926874318e-08,0
16.0,12,8.38525491562421e-08,0
16.0,13,7.670749750628418e-08,0
16.0,14,8.363526339871121e-08,0
16.0,15,2.0166801759337727e-07,0
18.000000000000004,0,6.205716746544361e-08,0
18.000000000000004,1,6.073644101046726e-08,0
18.000000000000004,2,1.2764221371561298e-07,0
18.000000000000004,3,7.245492351121226e-08,0
18.000000000000004,4,1.2023165509787331e-07,0
18.000000000000004,5,6.455175187677025e-08,0
18.000000000000004,6,1.2073551824163267e-07,0
18.000000000000004,7,9.74209228061195e-08,0
18.000000000000004,8,1.206903357086425e-07,0
18.000000000000004,9,6.149186938124422e-08,0
18.000000000000004,10,7.33790123650793e-08,0
18.000000000000004,11,7.267220926874318e-08,0
18.000000000000004,12,8.38525491562421e-08,0
18.000000000000004,13,7.732416887228293e-08,0
18.000000000000004,14,8.361466958416767e-08,0
18.000000000000004,15,2.019752705763397e-07,0
20.0,0,6.222289160465761e-08,0
20.0,1,6.099528068065733e-08,0
20.0,2,1.2776079307805617e-07,0
20.0,3,7.250241438727413e-08,0
20.0,4,1.2032452597674653e-07,0
20.0,5,6.483381880413793e-08,0
20.0,6,1.2086687293820096e-07,0
20.0,7,9.717082237646029e-08,0
20.0,8,1.2125586805260224e-07,0
20.0,9,6.149186938124422e-08,0
20.0,10,7.33549781168347e-08,0
20.0,11,7.267220926874318e-08,0
20.0,12,8.38525491562421e-08,0
20.0,13,7.754020414798911e-08,0
20.0,14,8.373608728241401e-08,0
20.0,15,2.0270109371376518e-07,0
22.0,0,6.26651149249941e-08,0
22.0,1,6.096048440560263e-08,0
22.0,2,1.2827336193506856e-07,0
22.0,3,7.2633920433512e-08,0
22.0,4,1.2147110454241504e-07,0
22.0,5,6.545698992274094e-08,0
22.0,6,1.2276013196473844e-07,0
22.0,7,9.867592114191487e-08,0
22.0,8,1.2252269381867406e-07,0
22.0,9,6.149186938124422e-08,0
22.0,10,7.39875433731548e-08,0
22.0,11,7.269128834704949e-08,0
22.0,12,8.38525491562421e-08,0
22.0,13,7.833792204957034e-08,0
22.0,14,8.38525491562421e-08,0
22.0,15,2.029852819574809e-07,0
24.0,0,6.260990336999411e-08,0
24.0,1,6.083295201144865e-08,0
24.0,2,1.2803157878632194e-07,0
24.0,3,7.253586366035905e-08,0
