dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
0.0,0,1.2437855699406726e-07,0
0.0,1,1.1820367996415617e-07,0
0.0,2,8.29925230110499e-08,0
0.0,3,7.279803302953494e-08,0
0.0,4,8.443218403558706e-08,0
0.0,5,6.236127081144945e-08,0
0.0,6,4.0571601493592816e-08,0
0.0,7,7.647688013078058e-08,0
0.0,8,6.573396736953199e-08,0
0.0,9,5.3791125070977085e-08,0
0.0,10,6.765872906960678e-08,0
0.0,11,2.7950849718747374e-08,0
0.0,12,5.2608112176936044e-08,0
0.0,13,6.157135047049185e-08,0
0.0,14,5.1574382071631616e-08,0
0.0,15,5.031152949374527e-08,0
2.0,0,1.2496228205718629e-07,0
2.0,1,1.1805158458094066e-07,0
2.0,2,8.246323719142335e-08,0
2.0,3,7.274702989896543e-08,0
2.0,4,8.436705290494294e-08,0
2.0,5,6.235657976470002e-08,0
2.0,6,4.0307371934836635e-08,0
2.0,7,7.682995629845368e-08,0
2.0,8,6.555248142507527e-08,0
2.0,9,5.353918713983872e-08,0
2.0,10,6.75303737565726e-08,0
2.0,11,2.7950849718747374e-08,0
2.0,12,5.112047417243041e-08,0
2.0,13,6.148046087115493e-08,0
2.0,14,5.161156901554747e-08,0
2.0,15,5.031152949374527e-08,0
4.0,0,1.2536846499888015e-07,0
4.0,1,1.1826722379355446e-07,0
4.0,2,8.291674978239859e-08,0
4.0,3,7.275788237132938e-08,0
4.0,4,8.446846504721137e-08,0
4.0,5,6.240617818653366e-08,0
4.0,6,4.046095289540613e-08,0
4.0,7,7.736639378596833e-08,0
4.0,8,6.627924784445524e-08,0
4.0,9,5.380967264872961e-08,0
4.0,10,6.778081056796238e-08,0
4.0,11,2.7950849718747374e-08,0
4.0,12,5.183490113507916e-08,0
4.0,13,6.157717207621496e-08,0
4.0,14,5.175051748638303e-08,0
4.0,15,5.031152949374527e-08,0
6.0,0,1.2458397825020297e-07,0
6.0,1,1.1838250339798108e-07,0
6.0,2,8.312097641822654e-08,0
6.0,3,7.289903553609426e-08,0
6.0,4,8.462250082711722e-08,0
6.0,5,6.246622691944575e-08,0
6.0,6,4.078849037298004e-08,0
6.0,7,7.66878553637073e-08,0
6.0,8,6.624904543349202e-08,0
6.0,9,5.3884627808306786e-08,0
6.0,10,6.767147901294007e-08,0
6.0,11,2.7950849718747374e-08,0
6.0,12,5.33508451913178e-08,0
6.0,13,6.163618083359645e-08,0
6.0,14,5.162226809856851e-08,0
6.0,15,5.031152949374527e-08,0
8.0,0,1.2546137641068763e-07,0
8.0,1,1.184538816363525e-07,0
8.0,2,8.309161498383463e-08,0
8.0,3,7.281277447042352e-08,0
8.0,4,8.456099454847447e-08,0
8.0,5,6.24420748683716e-08,0
8.0,6,4.05995752596736e-08,0
8.0,7,7.753150893716143e-08,0
8.0,8,6.671480188343352e-08,0
8.0,9,5.400910271672689e-08,0
8.0,10,6.795726795255043e-08,0
8.0,11,2.7950849718747374e-08,0
8.0,12,5.253874759798319e-08,0
8.0,13,6.166888191266019e-08,0
8.0,14,5.1800905715317704e-08,0
8.0,15,5.031152949374527e-08,0
10.0,0,1.2547167153965168e-07,0
10.0,1,1.1826913760510937e-07,0
10.0,2,8.26937667761027e-08,0
10.0,3,7.27742392677165e-08,0
10.0,4,8.450917229249205e-08,0
10.0,5,6.244930180254938e-08,0
10.0,6,4.0358937210714666e-08,0
10.0,7,7.745392429999272e-08,0
10.0,8,6.620705620336334e-08,0
10.0,9,5.3672386952374104e-08,0
10.0,10,6.781058277630942e-08,0
10.0,11,2.7950849718747374e-08,0
10.0,12,5.1508965667263195e-08,0
10.0,13,6.158332410425035e-08,0
10.0,14,5.171732193532572e-08,0
10.0,15,5.031152949374527e-08,0
12.0,0,1.2573349803211656e-07,0
12.0,1,1.1871772809362944e-07,0
12.0,2,8.327023978710155e-08,0
12.0,3,7.291430324268508e-08,0
12.0,4,8.47262041310576e-08,0
12.0,5,6.256714391485633e-08,0
12.0,6,4.0778409056028646e-08,0
12.0,7,7.783626825489288e-08,0
12.0,8,6.728908265624367e-08,0
12.0,9,5.415699671619714e-08,0
12.0,10,6.802084649111957e-08,0
12.0,11,2.7950849718747374e-08,0
12.0,12,5.3409893480163604e-08,0
12.0,13,6.180307471831892e-08,0
12.0,14,5.1843451064868924e-08,0
12.0,15,5.031152949374527e-08,0
14.0,0,1.2545909076710075e-07,0
14.0,1,1.1880763071940374e-07,0
14.0,2,8.337142797255876e-08,0
14.0,3,7.30393920130377e-08,0
14.0,4,8.492033442639651e-08,0
14.0,5,6.27179342615451e-08,0
14.0,6,4.10336912212855e-08,0
14.0,7,7.744878640377793e-08,0
14.0,8,6.742290334595402e-08,0
14.0,9,5.4077538719008074e-08,0
14.0,10,6.791092659251517e-08,0
14.0,11,2.7950849718747374e-08,0
14.0,12,5.467474164468971e-08,0
14.0,13,6.18707329044029e-08,0
14.0,14,5.1820696778878916e-08,0
14.0,15,5.031152949374527e-08,0
16.0,0,1.2617394045813603e-07,0
16.0,1,1.1883255681137673e-07,0
16.0,2,8.311197108677103e-08,0
16.0,3,7.290284496386839e-08,0
16.0,4,8.48581551461233e-08,0
16.0,5,6.264297377239171e-08,0
16.0,6,4.065345556346871e-08,0
16.0,7,7.846942254374262e-08,0
16.0,8,6.7585658238845e-08,0
16.0,9,5.415699671619714e-08,0
16.0,10,6.829072471823683e-08,0
16.0,11,2.7950849718747374e-08,0
16.0,12,5.276149542567346e-08,0
16.0,13,6.180371770455256e-08,0
16.0,14,5.200094203202828e-08,0
16.0,15,5.031152949374527e-08,0
18.000000000000004,0,1.2647404791518483e-07,0
18.000000000000004,1,1.1905625094399126e-07,0
18.000000000000004,2,8.321837021304365e-08,0
18.000000000000004,3,7.294895035506739e-08,0
18.000000000000004,4,8.496296883859872e-08,0
18.000000000000004,5,6.282410614353965e-08,0
18.000000000000004,6,4.066751806653774e-08,0
18.000000000000004,7,7.882339985200872e-08,0
18.000000000000004,8,6.790297337267718e-08,0
18.000000000000004,9,5.418714252183995e-08,0
18.000000000000004,10,6.836682165925397e-08,0
18.000000000000004,11,2.7950849718747374e-08,0
18.000000000000004,12,5.3067247071649945e-08,0
18.000000000000004,13,6.192548843348476e-08,0
18.000000000000004,14,5.2036890587495107e-08,0
18.000000000000004,15,5.031680821890462e-08,0
20.0,0,1.26343735459786e-07,0
20.0,1,1.196070601660884e-07,0
20.0,2,8.360279123497078e-08,0
20.0,3,7.336357304270512e-08,0
20.0,4,8.539590265596106e-08,0
20.0,5,6.318724879041415e-08,0
20.0,6,4.13229302449851e-08,0
20.0,7,7.853674338151102e-08,0
