dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
0.0,0,6.238731994431622e-08,0
0.0,1,4.91123181196736e-08,0
0.0,2,1.2328503762374925e-07,0
0.0,3,1.1344189696195054e-07,0
0.0,4,1.210369675174862e-07,0
0.0,5,6.20663892938971e-08,0
0.0,6,1.1912503738538703e-07,0
0.0,7,1.010371456499905e-07,0
0.0,8,1.2730964683885043e-07,0
0.0,9,6.241713888917517e-08,0
0.0,10,7.469067331554667e-08,0
0.0,11,7.369010114418136e-08,0
0.0,12,8.397664980080567e-08,0
0.0,13,6.202954984911632e-08,0
0.0,14,8.102633851652913e-08,0
0.0,15,1.5769163855887474e-07,0
2.0,0,6.222102198260284e-08,0
2.0,1,4.895965833087776e-08,0
2.0,2,1.2319530269049061e-07,0
2.0,3,1.1352836560048934e-07,0
2.0,4,1.2093568851282646e-07,0
2.0,5,6.201156990147961e-08,0
2.0,6,1.1907061980186382e-07,0
2.0,7,1.016721525426178e-07,0
2.0,8,1.272965849287683e-07,0
2.0,9,6.247379488440717e-08,0
2.0,10,7.447725435821217e-08,0
2.0,11,7.364999517763222e-08,0
2.0,12,8.397094912479354e-08,0
2.0,13,6.209236382702905e-08,0
2.0,14,8.076544038133569e-08,0
2.0,15,1.588742501404742e-07,0
4.0,0,6.247379488440717e-08,0
4.0,1,4.9218782218795865e-08,0
4.0,2,1.240356524615811e-07,0
4.0,3,1.1384216673682752e-07,0
4.0,4,1.2154111426087567e-07,0
4.0,5,6.212732527270833e-08,0
4.0,6,1.1954258792120226e-07,0
4.0,7,1.0276283695638986e-07,0
4.0,8,1.2778779105789813e-07,0
4.0,9,6.259603935241881e-08,0
4.0,10,7.502102016947824e-08,0
4.0,11,7.369937830434377e-08,0
4.0,12,8.398806842760574e-08,0
4.0,13,6.231323207034776e-08,0
4.0,14,8.127200584166805e-08,0
4.0,15,1.5907679252974047e-07,0
6.0,0,6.262980901964545e-08,0
6.0,1,4.930627963543944e-08,0
6.0,2,1.2354065418921535e-07,0
6.0,3,1.1351967912087749e-07,0
6.0,4,1.2147439287767607e-07,0
6.0,5,6.217555923047976e-08,0
6.0,6,1.1944972328080773e-07,0
6.0,7,1.0162668016231092e-07,0
6.0,8,1.2773237774696377e-07,0
6.0,9,6.250441617944229e-08,0
6.0,10,7.501546454957307e-08,0
6.0,11,7.374634662259867e-08,0
6.0,12,8.40259097899832e-08,0
6.0,13,6.21864056469828e-08,0
6.0,14,8.132756903132736e-08,0
6.0,15,1.5787079443109696e-07,0
8.0,0,6.262581844456706e-08,0
8.0,1,4.9381339664656096e-08,0
8.0,2,1.2427660329612826e-07,0
8.0,3,1.1414658388135154e-07,0
8.0,4,1.2186052069032856e-07,0
8.0,5,6.219995757411915e-08,0
8.0,6,1.200106895789213e-07,0
8.0,7,1.032440446689314e-07,0
8.0,8,1.2816035021550133e-07,0
8.0,9,6.271062715276437e-08,0
8.0,10,7.540572849233873e-08,0
8.0,11,7.372499989475435e-08,0
8.0,12,8.403618346302686e-08,0
8.0,13,6.243976776301043e-08,0
8.0,14,8.149539022097026e-08,0
8.0,15,1.5927933491900677e-07,0
10.0,0,6.248524452804291e-08,0
10.0,1,4.909234864979345e-08,0
10.0,2,1.2379881168413553e-07,0
10.0,3,1.1385955333705825e-07,0
10.0,4,1.2160131651983014e-07,0
10.0,5,6.212220130082749e-08,0
10.0,6,1.1964327135707718e-07,0
10.0,7,1.0269748349673734e-07,0
10.0,8,1.2780010769203196e-07,0
10.0,9,6.262581844456706e-08,0
10.0,10,7.499608096263693e-08,0
10.0,11,7.376224240625423e-08,0
10.0,12,8.402737521855616e-08,0
10.0,13,6.232676489232368e-08,0
10.0,14,8.108219944960521e-08,0
10.0,15,1.594249217792613e-07,0
12.0,0,6.295857129925879e-08,0
12.0,1,4.9533846277348044e-08,0
12.0,2,1.2450311828566135e-07,0
12.0,3,1.1433479658536661e-07,0
12.0,4,1.222595777271212e-07,0
12.0,5,6.232849345445842e-08,0
12.0,6,1.2028503603102318e-07,0
12.0,7,1.0358827956634895e-07,0
12.0,8,1.2847459096612055e-07,0
12.0,9,6.281020927657088e-08,0
12.0,10,7.592169986762444e-08,0
12.0,11,7.378428570515514e-08,0
12.0,12,8.408511400752291e-08,0
12.0,13,6.258585962830057e-08,0
12.0,14,8.182385845084916e-08,0
12.0,15,1.5931984339686002e-07,0
14.0,0,6.306785913782593e-08,0
14.0,1,4.963632942436965e-08,0
14.0,2,1.242544558069707e-07,0
14.0,3,1.1426114600543108e-07,0
14.0,4,1.223171285390706e-07,0
14.0,5,6.242463651800332e-08,0
14.0,6,1.2025588951158665e-07,0
14.0,7,1.0318220903018041e-07,0
14.0,8,1.284635448361038e-07,0
14.0,9,6.281442178257031e-08,0
14.0,10,7.604398766169245e-08,0
14.0,11,7.386432984710903e-08,0
14.0,12,8.413944745817639e-08,0
14.0,13,6.245852864304048e-08,0
14.0,14,8.183408510943861e-08,0
14.0,15,1.5861733540927652e-07,0
16.0,0,6.30318029883903e-08,0
16.0,1,4.960493201285534e-08,0
16.0,2,1.2473504513584353e-07,0
16.0,3,1.1451578902521112e-07,0
16.0,4,1.2289056926342596e-07,0
16.0,5,6.231758208940415e-08,0
16.0,6,1.2063151140953412e-07,0
16.0,7,1.0404373792637624e-07,0
16.0,8,1.2880683245389414e-07,0
16.0,9,6.30520398007391e-08,0
16.0,10,7.629900245176113e-08,0
16.0,11,7.385861224241662e-08,0
16.0,12,8.414860177008555e-08,0
16.0,13,6.270814066607673e-08,0
16.0,14,8.189235969544684e-08,0
16.0,15,1.6045534666668412e-07,0
18.000000000000004,0,6.312723458467379e-08,0
18.000000000000004,1,4.970449321136081e-08,0
18.000000000000004,2,1.2488618870635387e-07,0
18.000000000000004,3,1.1470462631415061e-07,0
18.000000000000004,4,1.2301726302002216e-07,0
18.000000000000004,5,6.239474906288073e-08,0
18.000000000000004,6,1.2093873667358677e-07,0
18.000000000000004,7,1.043424810428579e-07,0
18.000000000000004,8,1.289108316179768e-07,0
18.000000000000004,9,6.318292271682933e-08,0
18.000000000000004,10,7.678410577422257e-08,0
18.000000000000004,11,7.393253849242486e-08,0
18.000000000000004,12,8.418086767290713e-08,0
18.000000000000004,13,6.277028662409753e-08,0
18.000000000000004,14,8.205473301597468e-08,0
18.000000000000004,15,1.606508362406099e-07,0
20.0,0,6.397638935624398e-08,0
20.0,1,4.995953373421355e-08,0
